"","Date.Time","Temperature","RH","Dew.Point","chamber_num"
"1","11/6/2023 0:06",16.77,51.05,6.61,3
"2","11/6/2023 0:16",14.68,51.94,4.93,3
"3","11/6/2023 0:26",14.88,51.27,4.93,3
"4","11/6/2023 0:36",15.1,51.53,5.2,3
"5","11/6/2023 0:46",15.29,50.51,5.09,3
"6","11/6/2023 0:56",15.32,50.51,5.12,3
"7","11/6/2023 1:06",15.33,50.17,5.03,3
"8","11/6/2023 1:16",15.33,50.24,5.05,3
"9","11/6/2023 1:26",15.33,50,4.99,3
"10","11/6/2023 1:36",15.32,50.35,5.07,3
"11","11/6/2023 1:46",15.36,50.25,5.08,3
"12","11/6/2023 1:56",15.36,49.95,4.99,3
"13","11/6/2023 2:06",15.32,50.09,5,3
"14","11/6/2023 2:16",15.37,50.19,5.07,3
"15","11/6/2023 2:26",15.41,50.1,5.08,3
"16","11/6/2023 2:36",15.37,49.91,4.99,3
"17","11/6/2023 2:46",15.39,50.08,5.06,3
"18","11/6/2023 2:56",15.4,50.13,5.08,3
"19","11/6/2023 3:06",15.39,49.83,4.99,3
"20","11/6/2023 3:16",15.37,49.94,5,3
"21","11/6/2023 3:26",15.38,49.9,5,3
"22","11/6/2023 3:36",15.37,49.92,4.99,3
"23","11/6/2023 3:46",15.32,49.9,4.95,3
"24","11/6/2023 3:56",15.31,49.9,4.94,3
"25","11/6/2023 4:06",15.28,49.85,4.89,3
"26","11/6/2023 4:16",15.25,49.86,4.87,3
"27","11/6/2023 4:26",15.15,49.83,4.77,3
"28","11/6/2023 4:36",15.09,49.73,4.68,3
"29","11/6/2023 4:46",15.07,49.88,4.7,3
"30","11/6/2023 4:56",15.07,50.06,4.75,3
"31","11/6/2023 5:06",15.11,50.07,4.8,3
"32","11/6/2023 5:16",15.09,49.84,4.71,3
"33","11/6/2023 5:26",15.03,49.76,4.64,3
"34","11/6/2023 5:36",15.02,49.88,4.66,3
"35","11/6/2023 5:46",14.98,49.86,4.62,3
"36","11/6/2023 5:56",14.93,49.9,4.58,3
"37","11/6/2023 6:06",14.91,49.99,4.59,3
"38","11/6/2023 6:16",14.93,50.04,4.62,3
"39","11/6/2023 6:26",14.93,49.84,4.56,3
"40","11/6/2023 6:36",14.91,49.77,4.52,3
"41","11/6/2023 6:46",14.84,49.79,4.47,3
"42","11/6/2023 6:56",14.75,49.78,4.39,3
"43","11/6/2023 7:06",14.69,49.74,4.32,3
"44","11/6/2023 7:16",14.6,49.69,4.22,3
"45","11/6/2023 7:26",14.52,49.8,4.18,3
"46","11/6/2023 7:36",14.47,49.8,4.13,3
"47","11/6/2023 7:46",14.44,49.71,4.08,3
"48","11/6/2023 7:56",14.38,49.77,4.04,3
"49","11/6/2023 8:06",14.32,49.92,4.02,3
"50","11/6/2023 8:16",14.36,51.98,4.64,3
"51","11/6/2023 8:26",14.45,51.97,4.73,3
"52","11/6/2023 8:36",14.55,52.18,4.87,3
"53","11/6/2023 8:46",14.64,52.23,4.97,3
"54","11/6/2023 8:56",14.74,52.13,5.04,3
"55","11/6/2023 9:06",14.99,53.05,5.52,3
"56","11/6/2023 9:16",15.24,52.85,5.69,3
"57","11/6/2023 9:26",15.42,52.67,5.81,3
"58","11/6/2023 9:36",15.48,52.51,5.83,3
"59","11/6/2023 9:46",15.81,53.46,6.39,3
"60","11/6/2023 9:56",16.2,53.58,6.79,3
"61","11/6/2023 10:06",16.56,53.54,7.11,3
"62","11/6/2023 10:16",16.81,53.47,7.33,3
"63","11/6/2023 10:26",17.17,53.97,7.79,3
"64","11/6/2023 10:36",17.88,54.7,8.65,3
"65","11/6/2023 10:46",18.67,54.87,9.43,3
"66","11/6/2023 10:56",20.01,62.71,12.7,3
"67","11/6/2023 11:06",21.82,62.48,14.36,3
"68","11/6/2023 11:16",22.79,59.49,14.51,3
"69","11/6/2023 11:26",23.14,57.53,14.32,3
"70","11/6/2023 11:36",23.34,56.32,14.17,3
"71","11/6/2023 11:46",23.4,55.66,14.05,3
"72","11/6/2023 11:56",23.39,55.24,13.92,3
"73","11/6/2023 12:06",23.43,54.91,13.87,3
"74","11/6/2023 12:16",23.43,54.6,13.78,3
"75","11/6/2023 12:26",23.41,53.87,13.55,3
"76","11/6/2023 12:36",23.39,53.02,13.29,3
"77","11/6/2023 12:46",23.49,51.63,12.97,3
"78","11/6/2023 12:56",23.43,52.69,13.23,3
"79","11/6/2023 13:06",23.15,53.85,13.31,3
"80","11/6/2023 13:16",22.98,55.2,13.53,3
"81","11/6/2023 13:26",22.88,55.62,13.56,3
"82","11/6/2023 13:36",22.85,55.52,13.5,3
"83","11/6/2023 13:46",22.87,56.01,13.66,3
"84","11/6/2023 13:56",22.86,56.31,13.73,3
"85","11/6/2023 14:06",22.86,56.07,13.66,3
"86","11/6/2023 14:16",22.85,56.14,13.67,3
"87","11/6/2023 14:26",22.84,56.21,13.68,3
"88","11/6/2023 14:36",22.83,55.91,13.59,3
"89","11/6/2023 14:46",22.85,56.14,13.67,3
"90","11/6/2023 14:56",22.84,56.38,13.73,3
"91","11/6/2023 15:06",22.82,56.54,13.75,3
"92","11/6/2023 15:16",22.86,56.24,13.71,3
"93","11/6/2023 15:26",22.85,56.19,13.69,3
"94","11/6/2023 15:36",22.84,56.42,13.74,3
"95","11/6/2023 15:46",22.84,56.37,13.73,3
"96","11/6/2023 15:56",22.82,56.19,13.65,3
"97","11/6/2023 16:06",22.85,56.32,13.72,3
"98","11/6/2023 16:16",22.83,56.64,13.79,3
"99","11/6/2023 16:26",22.81,56.47,13.72,3
"100","11/6/2023 16:36",22.84,56.45,13.75,3
"101","11/6/2023 16:46",22.83,56.51,13.75,3
"102","11/6/2023 16:56",22.83,56.21,13.67,3
"103","11/6/2023 17:06",22.85,56.49,13.77,3
"104","11/6/2023 17:16",22.8,56.22,13.64,3
"105","11/6/2023 17:26",22.81,56.66,13.77,3
"106","11/6/2023 17:36",22.8,56.23,13.65,3
"107","11/6/2023 17:46",22.83,56.12,13.65,3
"108","11/6/2023 17:56",22.86,56.27,13.72,3
"109","11/6/2023 18:06",22.83,56.38,13.72,3
"110","11/6/2023 18:16",22.85,56.28,13.71,3
"111","11/6/2023 18:26",22.86,56.25,13.71,3
"112","11/6/2023 18:36",22.84,56.22,13.68,3
"113","11/6/2023 18:46",22.84,56.5,13.76,3
"114","11/6/2023 18:56",22.85,56.29,13.71,3
"115","11/6/2023 19:06",22.86,56.08,13.67,3
"116","11/6/2023 19:16",22.83,56.24,13.68,3
"117","11/6/2023 19:26",22.82,56.54,13.75,3
"118","11/6/2023 19:36",22.84,56.23,13.69,3
"119","11/6/2023 19:46",22.85,56.27,13.71,3
"120","11/6/2023 19:56",22.86,56.23,13.71,3
"121","11/6/2023 20:06",22.84,56.14,13.66,3
"122","11/6/2023 20:16",22.82,56.61,13.77,3
"123","11/6/2023 20:26",22.83,56.4,13.72,3
"124","11/6/2023 20:36",22.84,56.38,13.73,3
"125","11/6/2023 20:46",22.84,56.36,13.72,3
"126","11/6/2023 20:56",22.86,56.16,13.69,3
"127","11/6/2023 21:06",22.84,56.04,13.63,3
"128","11/6/2023 21:16",22.84,56.45,13.75,3
"129","11/6/2023 21:26",22.84,56.35,13.72,3
"130","11/6/2023 21:36",22.83,56.08,13.64,3
"131","11/6/2023 21:46",22.82,56.57,13.76,3
"132","11/6/2023 21:56",22.8,56.26,13.65,3
"133","11/6/2023 22:06",22.92,55.82,13.64,3
"134","11/6/2023 22:16",23.11,55.8,13.82,3
"135","11/6/2023 22:26",23.18,55.96,13.93,3
"136","11/6/2023 22:36",23.22,53.73,13.34,3
"137","11/6/2023 22:46",21.13,56.56,12.18,3
"138","11/6/2023 22:56",20.86,57.91,12.28,3
"139","11/6/2023 23:06",21.31,56.61,12.36,3
"140","11/6/2023 23:16",21.66,55.18,12.3,3
"141","11/6/2023 23:26",21.81,53.86,12.07,3
"142","11/6/2023 23:36",21.98,52.44,11.82,3
"143","11/6/2023 23:46",22.13,51.35,11.65,3
"144","11/6/2023 23:56",22.12,50.85,11.49,3
"145","11/7/2023 0:06",22.13,49.89,11.21,3
"146","11/7/2023 0:16",18.68,52.16,8.69,3
"147","11/7/2023 0:26",16.86,54.76,7.71,3
"148","11/7/2023 0:36",15.38,52.5,5.73,3
"149","11/7/2023 0:46",14.23,51.4,4.36,3
"150","11/7/2023 0:56",13.79,51.34,3.94,3
"151","11/7/2023 1:06",13.68,51.01,3.75,3
"152","11/7/2023 1:16",13.56,50.26,3.43,3
"153","11/7/2023 1:26",13.54,49.55,3.2,3
"154","11/7/2023 1:36",13.55,49.44,3.18,3
"155","11/7/2023 1:46",13.58,49.62,3.25,3
"156","11/7/2023 1:56",13.67,49.9,3.42,3
"157","11/7/2023 2:06",13.76,50.04,3.54,3
"158","11/7/2023 2:16",13.78,50.18,3.6,3
"159","11/7/2023 2:26",13.81,50.32,3.67,3
"160","11/7/2023 2:36",13.8,50.37,3.68,3
"161","11/7/2023 2:46",13.82,50.36,3.69,3
"162","11/7/2023 2:56",13.83,50.15,3.64,3
"163","11/7/2023 3:06",13.88,49.81,3.59,3
"164","11/7/2023 3:16",13.9,49.34,3.47,3
"165","11/7/2023 3:26",13.9,49.03,3.38,3
"166","11/7/2023 3:36",13.88,49.01,3.36,3
"167","11/7/2023 3:46",13.92,49.13,3.43,3
"168","11/7/2023 3:56",13.95,49.69,3.62,3
"169","11/7/2023 4:06",13.96,50.33,3.81,3
"170","11/7/2023 4:16",13.99,50.68,3.94,3
"171","11/7/2023 4:26",14.04,50.35,3.89,3
"172","11/7/2023 4:36",14.08,49.4,3.66,3
"173","11/7/2023 4:46",14.11,48.99,3.57,3
"174","11/7/2023 4:56",14.17,49.12,3.65,3
"175","11/7/2023 5:06",14.11,49.79,3.8,3
"176","11/7/2023 5:16",14.18,50.62,4.09,3
"177","11/7/2023 5:26",14.17,50.5,4.05,3
"178","11/7/2023 5:36",14.12,49.55,3.74,3
"179","11/7/2023 5:46",14.2,48.97,3.64,3
"180","11/7/2023 5:56",14.24,49.92,3.95,3
"181","11/7/2023 6:06",14.25,50.71,4.19,3
"182","11/7/2023 6:16",14.24,49.68,3.88,3
"183","11/7/2023 6:26",14.25,48.83,3.65,3
"184","11/7/2023 6:36",14.2,49.78,3.87,3
"185","11/7/2023 6:46",14.24,50.71,4.18,3
"186","11/7/2023 6:56",14.24,49.9,3.95,3
"187","11/7/2023 7:06",14.26,48.97,3.7,3
"188","11/7/2023 7:16",14.3,50.05,4.05,3
"189","11/7/2023 7:26",14.33,50.72,4.26,3
"190","11/7/2023 7:36",14.3,49.68,3.94,3
"191","11/7/2023 7:46",14.32,49.02,3.77,3
"192","11/7/2023 7:56",14.32,49.96,4.03,3
"193","11/7/2023 8:06",14.3,50.73,4.24,3
"194","11/7/2023 8:16",14.23,51.62,4.42,3
"195","11/7/2023 8:26",14.4,52.9,4.93,3
"196","11/7/2023 8:36",14.56,51.83,4.79,3
"197","11/7/2023 8:46",14.75,52.1,5.04,3
"198","11/7/2023 8:56",14.91,52.97,5.42,3
"199","11/7/2023 9:06",15.18,52.45,5.53,3
"200","11/7/2023 9:16",15.33,52.87,5.79,3
"201","11/7/2023 9:26",15.42,52.67,5.81,3
"202","11/7/2023 9:36",15.51,52.74,5.91,3
"203","11/7/2023 9:46",15.73,53.46,6.32,3
"204","11/7/2023 9:56",16.08,53.67,6.7,3
"205","11/7/2023 10:06",16.4,53.79,7.02,3
"206","11/7/2023 10:16",16.67,53.86,7.3,3
"207","11/7/2023 10:26",17,54.19,7.69,3
"208","11/7/2023 10:36",17.69,54.99,8.55,3
"209","11/7/2023 10:46",18.48,55.15,9.33,3
"210","11/7/2023 10:56",19.26,55.15,10.05,3
"211","11/7/2023 11:06",20.09,55.1,10.81,3
"212","11/7/2023 11:16",20.92,55.12,11.59,3
