ID,height_cm,leaf_num,focal_weight_g ,chloro_weight_g,total_area_chloro_cm,total_area_focal_cm,disc_area_cm,chlA.mmolm2,chlB.mmolm2,chl_content.mmolm2
brit.hc.1.1,28,15,0.0726,0.0815,26.545,25.505,3.868,0.072198068,0.05896817,0.131166238
brit.hc.2.2,25.5,19,0.0768,0.0539,17.652,24.546,3.816,0.083397779,0.053762097,0.137159876
brit.hl.1.5,35,17,0.133,0.1197,36.399,36.879,3.821,0.05678134,0.020018014,0.076799354
brit.hl.2.6,31,19,0.1544,0.1391,42.357,46.28,3.754,0.058585823,0.024861683,0.083447506
brit.hl.3.7,33.7,13,0.1206,0.1063,42.831,46.422,3.718,0.080639781,0.033254703,0.113894484
brit.lc.1.9,37,22,NA,NA,NA,NA,3.648,0.066259798,0.023505392,0.08976519
brit.lc.2.10,34.5,17,NA,NA,NA,NA,4.476,0.082706391,0.040144631,0.122851022
brit.lc.3.11,37,18,NA,NA,NA,NA,3.93,0.080737849,0.083655667,0.164393516
brit.lh.1.13,30.5,20,NA,NA,NA,NA,3.811,0.063779428,0.042736853,0.106516281
brit.lh.3.15,30,24,NA,NA,NA,NA,4.006,0.097383331,0.068309634,0.165692965
brit.lh.4.16,27,22,NA,NA,NA,NA,3.92,0.109470722,0.047857494,0.157328216
paul.hc.2.18,26,16,0.0768,0.0524,18.121,20.173,3.891,0.073289295,0.04222667,0.115515965
paul.hc.3.19,29,12,0.0897,0.0668,22.932,23.413,3.842,0.091570162,0.044800826,0.136370988
paul.hc.4.20,28,18,0.1021,0.0655,21.526,25.809,3.852,0.071057107,0.040734139,0.111791246
paul.hl.1.21,36.5,13,0.1102,0.0901,28.931,33.354,3.836,0.087720795,0.028686413,0.116407208
paul.hl.2.22,36,21,0.068,0.07,25.367,22.391,3.848,0.073237738,0.040139596,0.113377334
paul.hl.4.24,38,16,0.1195,0.087,28.015,33.748,3.823,0.094899966,0.046390493,0.141290459
paul.lc.1.25,40,26,NA,NA,NA,NA,3.649,0.156780333,0.037822243,0.194602576
paul.lc.2.26,33,18,NA,NA,NA,NA,3.927,0.127664971,0.032723382,0.160388353
paul.lc.2.27,34,17,NA,NA,NA,NA,3.868,0.105999508,0.028162725,0.134162233
paul.lh.1.29,31,24,NA,NA,NA,NA,4.008,0.064255006,0.01740474,0.081659746
paul.lh.2.30,32,22,NA,NA,NA,NA,3.902,0.118352017,0.028405898,0.146757915
paul.lh.3.31,32,27,NA,NA,NA,NA,3.82,0.103461587,0.024834595,0.128296182
ryan.hc.1.33,26.5,15,NA,0.112,33.772,33.772,3.831,0.007186748,0.014314756,0.021501504
ryan.hc.2.34,25,16,NA,0.0848,26.445,26.445,3.846,0.007738578,0.003891757,0.011630335
ryan.hc.3.35,24.5,24,0.0578,0.0913,26.813,26.813,3.865,0.110935497,0.030888127,0.141823624
ryan.hl.1.37,26,13,0.113,0.081,32.057,32.057,3.856,0.155108581,0.035475128,0.190583709
ryan.hl.2.38,32,16,0.119,0.1065,40.283,40.283,3.849,0.139443475,0.035146427,0.174589902
ryan.hl.4.40,36,20,0.1824,0.1279,32.458,32.458,3.835,0.112825425,0.026170318,0.138995743
ryan.lc.1.41,32,16,0.1827,0.1462,40.665,40.665,3.847,0.069456162,0.030450874,0.099907036
ryan.lc.3.43,32,17,0.1473,0.1318,37.892,37.892,3.811,0.102280332,0.088199175,0.190479507
ryan.lc.4.44,36,21,0.115,0.1048,34.475,34.475,3.901,0.094876545,0.080483371,0.175359916
ryan.lh.1.45,27.5,17,NA,0.1348,33.452,33.452,3.835,0.085499642,0.047822974,0.133322616
ryan.lh.3.47,27.5,21,0.1253,0.1008,24.733,24.733,3.884,0.10112006,0.053992209,0.155112269
ryan.lh.4.48,32,20,0.172,0.1367,32.259,32.259,3.962,,,0.140815047
