id,abs_649,abs_665,blank_649,blank_665,abs_649_corrected,abs_665_corrected
blk2,0.041,0.04,0.042,0.042,-0.001,-0.002
blk2,0.044,0.043,0.042,0.042,0.002,0.001
blk2,0.042,0.042,0.042,0.042,0,0
brit.hl.1.5,0.257,0.431,0.042,0.042,0.215,0.389
brit.hl.1.5,0.256,0.434,0.042,0.042,0.214,0.392
brit.hl.1.5,0.263,0.446,0.042,0.042,0.221,0.404
ryan.hc.1.33,0.142,0.263,0.042,0.042,0.1,0.221
ryan.hc.1.33,0.147,0.268,0.042,0.042,0.105,0.226
ryan.hc.1.33,0.144,0.267,0.042,0.042,0.102,0.225
ryan.lh.1.45,0.182,0.318,0.042,0.042,0.14,0.276
ryan.lh.1.45,0.189,0.325,0.042,0.042,0.147,0.283
ryan.lh.1.45,0.186,0.326,0.042,0.042,0.144,0.284
ryan.lh.4.48,0.207,0.392,0.042,0.042,0.165,0.35
ryan.lh.4.48,0.222,0.407,0.042,0.042,0.18,0.365
ryan.lh.4.48,0.207,0.39,0.042,0.042,0.165,0.348
ryan.hl.1.37,0.191,0.377,0.042,0.042,0.149,0.335
ryan.hl.1.37,0.199,0.395,0.042,0.042,0.157,0.353
ryan.hl.1.37,0.2,0.397,0.042,0.042,0.158,0.355
ryan.hc.2.34,0.168,0.354,0.042,0.042,0.126,0.312
ryan.hc.2.34,0.168,0.355,0.042,0.042,0.126,0.313
ryan.hc.2.34,0.167,0.348,0.042,0.042,0.125,0.306
brit.hc.1.1,0.151,0.302,0.042,0.042,0.109,0.26
brit.hc.1.1,0.155,0.314,0.042,0.042,0.113,0.272
brit.hc.1.1,0.154,0.309,0.042,0.042,0.112,0.267
ryan.hc.3.35,0.178,0.306,0.042,0.042,0.136,0.264
ryan.hc.3.35,0.185,0.316,0.042,0.042,0.143,0.274
ryan.hc.3.35,0.179,0.308,0.042,0.042,0.137,0.266
brit.hl.3.7,0.278,0.376,0.042,0.042,0.236,0.334
brit.hl.3.7,0.289,0.391,0.042,0.042,0.247,0.349
brit.hl.3.7,0.29,0.391,0.042,0.042,0.248,0.349
brit.hl.2.6,0.202,0.375,0.042,0.042,0.16,0.333
brit.hl.2.6,0.196,0.366,0.042,0.042,0.154,0.324
brit.hl.2.6,0.2,0.372,0.042,0.042,0.158,0.33
paul.hc.3.19,0.15,0.303,0.042,0.042,0.108,0.261
paul.hc.3.19,0.15,0.3,0.042,0.042,0.108,0.258
paul.hc.3.19,0.15,0.3,0.042,0.042,0.108,0.258
paul.hc.2.18,0.158,0.298,0.042,0.042,0.116,0.256
paul.hc.2.18,0.158,0.299,0.042,0.042,0.116,0.257
paul.hc.2.18,0.155,0.295,0.042,0.042,0.113,0.253
paul.hc.4.20,0.194,0.335,0.042,0.042,0.152,0.293
paul.hc.4.20,0.189,0.324,0.042,0.042,0.147,0.282
paul.hc.4.20,0.187,0.323,0.042,0.042,0.145,0.281
ryan.lh.3.47,0.181,0.352,0.042,0.042,0.139,0.31
ryan.lh.3.47,0.266,0.427,0.042,0.042,0.224,0.385
ryan.lh.3.47,0.182,0.353,0.042,0.042,0.14,0.311
ryan.hl.2.38,0.326,0.454,0.042,0.042,0.284,0.412
ryan.hl.2.38,0.24,0.364,0.042,0.042,0.198,0.322
ryan.hl.2.38,0.236,0.365,0.042,0.042,0.194,0.323
ryan.hl.4.40,0.237,0.356,0.042,0.042,0.195,0.314
ryan.hl.4.40,0.233,0.349,0.042,0.042,0.191,0.307
ryan.hl.4.40,0.274,0.396,0.042,0.042,0.232,0.354
paul.hl.4.24,0.206,0.387,0.042,0.042,0.164,0.345
paul.hl.4.24,0.214,0.397,0.042,0.042,0.172,0.355
paul.hl.4.24,0.209,0.39,0.042,0.042,0.167,0.348
brit.hc.2.2,0.264,0.396,0.042,0.042,0.222,0.354
brit.hc.2.2,0.258,0.393,0.042,0.042,0.216,0.351
brit.hc.2.2,0.256,0.387,0.042,0.042,0.214,0.345
ryan.lc.1.41,0.252,0.426,0.042,0.042,0.21,0.384
ryan.lc.1.41,0.255,0.431,0.042,0.042,0.213,0.389
ryan.lc.1.41,0.323,0.498,0.042,0.042,0.281,0.456
paul.hl.1.21,0.191,0.306,0.042,0.042,0.149,0.264
paul.hl.1.21,0.19,0.309,0.042,0.042,0.148,0.267
paul.hl.1.21,0.192,0.31,0.042,0.042,0.15,0.268
ryan.lc.4.44,0.284,0.509,0.042,0.042,0.242,0.467
ryan.lc.4.44,0.224,0.469,0.042,0.042,0.182,0.427
ryan.lc.4.44,0.218,0.463,0.042,0.042,0.176,0.421
ryan.lc.3.43,0.172,0.301,0.042,0.042,0.13,0.259
ryan.lc.3.43,0.18,0.315,0.042,0.042,0.138,0.273
ryan.lc.3.43,0.177,0.306,0.042,0.042,0.135,0.264
paul.hl.2.22,0.051,0.051,0.042,0.042,0.009,0.009
paul.hl.2.22,0.096,0.094,0.042,0.042,0.054,0.052
paul.hl.2.22,0.068,0.067,0.042,0.042,0.026,0.025
