Well ID	Name	chlorophyll_absorbance:649	chlorophyll_absorbance:665	Blank chlorophyll_absorbance:649	Blank chlorophyll_absorbance:665
BLK	blk	0.041	0.04	-0.001	-0.001
	blk	0.044	0.043	0.002	0.002
	blk	0.042	0.042	0	0
SPL1	brit.hl.1.5	0.257	0.431	0.215	0.389
	brit.hl.1.5	0.256	0.434	0.214	0.392
	brit.hl.1.5	0.263	0.446	0.221	0.405
SPL2	ryan.hc.1.33	0.142	0.263	0.1	0.222
	ryan.hc.1.33	0.147	0.268	0.105	0.227
	ryan.hc.1.33	0.144	0.267	0.102	0.225
SPL3	ryan.lh.1.45	0.182	0.318	0.14	0.277
	ryan.lh.1.45	0.189	0.325	0.147	0.283
	ryan.lh.1.45	0.186	0.326	0.144	0.284
SPL4	ryan.lh.4.48	0.207	0.392	0.165	0.35
	ryan.lh.4.48	0.222	0.407	0.18	0.366
	ryan.lh.4.48	0.207	0.39	0.165	0.348
SPL5	ryan.hl.1.37	0.191	0.377	0.149	0.335
	ryan.hl.1.37	0.199	0.395	0.157	0.353
	ryan.hl.1.37	0.2	0.397	0.158	0.355
SPL6	ryan.hc.2.34	0.168	0.354	0.126	0.313
	ryan.hc.2.34	0.168	0.355	0.126	0.314
	ryan.hc.2.34	0.167	0.348	0.125	0.306
SPL7	brit.hc.1.1	0.151	0.302	0.109	0.26
	brit.hc.1.1	0.155	0.314	0.113	0.272
	brit.hc.1.1	0.154	0.309	0.112	0.267
SPL8	ryan.hc.3.35	0.178	0.306	0.136	0.264
	ryan.hc.3.35	0.185	0.316	0.143	0.274
	ryan.hc.3.35	0.179	0.308	0.137	0.266
SPL9	brit.hl.3.7	0.278	0.376	0.236	0.334
	brit.hl.3.7	0.289	0.391	0.247	0.349
	brit.hl.3.7	0.29	0.391	0.248	0.35
SPL10	brit.hl.2.6	0.202	0.375	0.16	0.334
	brit.hl.2.6	0.196	0.366	0.154	0.324
	brit.hl.2.6	0.2	0.372	0.158	0.33
SPL11	paul.hc.3.19	0.15	0.303	0.108	0.261
	paul.hc.3.19	0.15	0.3	0.108	0.259
	paul.hc.3.19	0.15	0.3	0.108	0.258
SPL12	paul.hc.2.18	0.158	0.298	0.116	0.256
	paul.hc.2.18	0.158	0.299	0.116	0.258
	paul.hc.2.18	0.155	0.295	0.113	0.254
SPL13	paul.hc.4.20	0.194	0.335	0.152	0.294
	paul.hc.4.20	0.189	0.324	0.147	0.282
	paul.hc.4.20	0.187	0.323	0.145	0.281
SPL14	ryan.lh.3.47	0.181	0.352	0.139	0.31
	ryan.lh.3.47	0.266	0.427	0.224	0.385
	ryan.lh.3.47	0.182	0.353	0.14	0.311
SPL15	ryan.hl.2.38	0.326	0.454	0.284	0.413
	ryan.hl.2.38	0.24	0.364	0.198	0.323
	ryan.hl.2.38	0.236	0.365	0.194	0.323
SPL16	ryan.hl.4.40	0.237	0.356	0.195	0.314
	ryan.hl.4.40	0.233	0.349	0.191	0.308
	ryan.hl.4.40	0.274	0.396	0.232	0.354
SPL17	paul.hl.4.24	0.206	0.387	0.164	0.345
	paul.hl.4.24	0.214	0.397	0.172	0.356
	paul.hl.4.24	0.209	0.39	0.167	0.348
SPL18	brit.hc.2.2	0.264	0.396	0.222	0.354
	brit.hc.2.2	0.258	0.393	0.216	0.351
	brit.hc.2.2	0.256	0.387	0.214	0.346
SPL19	ryan.lc.1.41	0.252	0.426	0.209	0.384
	ryan.lc.1.41	0.255	0.431	0.212	0.39
	ryan.lc.1.41	0.323	0.498	0.28	0.457
SPL20	paul.hl.1.21	0.191	0.306	0.149	0.264
	paul.hl.1.21	0.19	0.309	0.148	0.267
	paul.hl.1.21	0.192	0.31	0.15	0.268
SPL21	ryan.lc.4.44	0.284	0.509	0.242	0.467
	ryan.lc.4.44	0.224	0.469	0.182	0.427
	ryan.lc.4.44	0.218	0.463	0.176	0.421
SPL22	ryan.lc.3.43	0.172	0.301	0.13	0.26
	ryan.lc.3.43	0.18	0.315	0.138	0.274
	ryan.lc.3.43	0.177	0.306	0.135	0.265
SPL23	paul.hl.2.22	0.051	0.051	0.009	0.009
	paul.hl.2.22	0.096	0.094	0.054	0.053
	paul.hl.2.22	0.068	0.067	0.026	0.025
