"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","?Vc","Edyn","Hr","Hs","dHs/dt","?Vh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","?Pcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","?CO2","CO2_s_d","CO2_r_d","?H2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","?CO2:MN","?CO2:SLP","?CO2:SD","?CO2:OK","?H2O:MN","?H2O:SLP","?H2O:SD","?H2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1705686711,0,2024-01-19 11:51:50,11:51:50,5,"n","ryan.hl.2.38","albert",1705686703,0.002756295,2.756295103,1.980229748,416.1664814,383.6268657,35.26864295,38.26016464,0.155592767,2.780975791,0.150913344,0.094729545,355.2622982,25.98442334,24.99917419,3.179521046,49.91024261,1.543547511,3.092646781,1.635973534,-121.552614,-69.54529651,-5.277312296,158.8870754,2.003663642,2.743996821,1.980229748,425.7286486,423.3141091,0.001157186,65.46199359,2.756295103,13.5537762,16.80334545,0.00033606,96.30767686,7,1,1,0,48902,2019.348729,1656.471916,0.820300076,0.175929146,6,0.5,"0: Broadleaf",2,TRUE,1705686703,416.1664839,419.9412258,16.78959677,13.55209032,412.6712258,16.67408065,500.0007742,91.83476452,0.099993194,24.53531613,24.99917419,999.9,0,0,9992.037419,0,19.3626,-3.774789355,423.273,425.7104839,3.237509355,419.9412258,13.55209032,1.541869032,1.244553226,13.3897871,10.14543226,1999.986129,0.979997387,0.0200029,0,2.156193548,0,30084.04516,17338.10323,38.21941935,39.3,38.48764516,37.63303226,37.59854839,1959.984194,40.01,0,1705686736,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,-3.776969024,-0.044591289,0.026886822,1,3.246172439,-0.047499303,0.021017547,1,2,2,"2-Feb",3.1299,2.77058,0.0857831,0.0873527,0.0844578,0.0726476,27324.3,26788,30427.6,29608.7,38460.9,36143.5,46557,44007.7,1.83727,1.84302,0.0819191,0,23.6304,999.9,40.1,32.4,21.3274,63.8855,23.0008,1,0.155612,1.9201,20.1822,5.23376,11.974,4.9705,3.29038,9999,9999,9999,999.9,4.97298,1.87721,1.87531,1.8781,1.87482,1.87845,1.87546,1.87666,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.496,0.1158,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14,13.8,1.09131,2.55005,1.39893,2.32788,1.44897,2.4707,38.4034,24.0963,18,493.261,462.927,20.8708,29.0532,29.9987,28.9044,28.9772,21.79,38.7105,25.362,20.986,413.246,13.5654,100.605,101.215
2,1705686716,5,2024-01-19 11:51:55,11:51:55,5,"n","ryan.hl.2.38","albert",1705686708,0.002768981,2.768981045,2.109015022,416.1594802,382.4564087,35.16082667,38.25929183,0.156693769,2.781305566,0.151949518,0.095382735,355.2621906,25.9730966,24.98476207,3.17679009,49.96368347,1.544488022,3.091221292,1.632302068,-122.1120641,-68.54795617,-5.200434715,159.4017357,1.841523334,2.756950432,2.109015022,425.5292416,423.1711212,-0.042743777,65.46199359,2.768981045,13.53345525,16.80147758,-0.000111101,96.30767686,7,1,1,0,49054,2019.348117,1656.471414,0.820300076,0.175929146,6,0.5,"0: Broadleaf",2,TRUE,1705686708,416.1594828,419.7464138,16.79992759,13.54688966,412.6642759,16.68422759,499.9573793,91.83427931,0.099927762,24.52761034,24.98476207,999.9,0,0,9994.028621,0,19.3626,-3.58701,423.2703448,425.5108621,3.253051724,419.7464138,13.54688966,1.54281,1.244067241,13.39915172,10.1396069,1999.985517,0.979997414,0.020002872,0,2.175448276,0,30058.22069,17338.08966,38.23682759,39.29062069,38.48034483,37.63358621,37.601,1959.984138,40.01,0,1705686741,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,-3.727245854,0.721114077,0.187562944,0,3.243777561,0.147859861,0.017079703,1,1,2,"2-Jan",3.13008,2.77108,0.0857454,0.0868534,0.0844546,0.072622,27325.3,26803.2,30427.5,29609.2,38460.9,36145.2,46556.8,44008.6,1.83745,1.84288,0.081744,0,23.6297,999.9,40.1,32.4,21.3268,63.5655,23.3413,1,0.154268,2.04866,20.1812,5.23092,11.974,4.97,3.2898,9999,9999,9999,999.9,4.97297,1.87722,1.87531,1.87813,1.87482,1.87847,1.87546,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.494,0.1157,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.1,13.9,1.06445,2.54395,1.39893,2.3291,1.44897,2.56836,38.4034,24.105,18,493.346,462.811,20.9823,29.0512,29.999,28.9026,28.9747,21.2865,38.7105,24.9876,21.0025,399.862,13.5624,100.604,101.217
3,1705686721,10,2024-01-19 11:52:00,11:52:00,5,"n","ryan.hl.2.38","albert",1705686713,0.002765615,2.765614944,1.526357383,415.6327481,387.9740462,35.66803634,38.21081361,0.156657177,2.782453216,0.151916998,0.095362062,355.2642292,25.97021437,24.97665,3.175253834,49.97629612,1.544576241,3.090617675,1.630677593,-121.963619,-67.84898126,-5.14498851,160.3066404,-0.179314955,2.766111744,1.526357383,417.1643054,419.6841818,-0.900811446,65.46199359,2.765614944,13.52913484,16.79370667,-0.000156161,96.30767686,7,1,1,0,48951,2019.359743,1656.480947,0.820300074,0.175929143,6,0.5,"0: Broadleaf",2,TRUE,1705686713,415.63275,416.7973571,16.80091071,13.53689286,412.1393214,16.68518929,499.9308214,91.83422143,0.099856864,24.52434643,24.97665,999.9,0,0,10000.7825,0,19.3626,-1.16465985,422.7350714,422.5171071,3.264024643,416.7973571,13.53689286,1.542898571,1.243148214,13.40003571,10.12857143,1999.997143,0.979997536,0.02000275,0,2.133757143,0,30032.49643,17338.18929,38.17832143,39.28321429,38.45507143,37.6115,37.58907143,1959.995714,40.01,0,1705686745,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,-1.917812849,25.51650206,3.267374005,0,3.257656829,0.137489477,0.013848284,1,1,2,"2-Jan",3.12997,2.77103,0.0851133,0.0847788,0.0844218,0.0725287,27344.2,26864.9,30427.5,29610.1,38462.1,36149.9,46556.7,44010,1.83742,1.84298,0.0819117,0,23.6285,999.9,40,32.5,21.3958,63.6655,22.9888,1,0.154314,2.11895,20.1802,5.23137,11.974,4.9701,3.28985,9999,9999,9999,999.9,4.97297,1.87727,1.87531,1.87817,1.87485,1.87851,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.482,0.1155,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.2,14,1.03271,2.54517,1.39893,2.3291,1.44897,2.56836,38.4279,24.0963,18,493.321,462.864,21.0196,29.0487,29.9997,28.9008,28.9732,20.5996,38.7105,24.9876,21.0223,379.811,13.5755,100.604,101.22
4,1705686726,15,2024-01-19 11:52:05,11:52:05,5,"n","ryan.hl.2.38","albert",1705686718,0.002779643,2.779643026,1.241200099,412.7592948,388.1971399,35.68860695,37.94670987,0.157488199,2.781911915,0.152697522,0.095854236,355.2641457,25.96746013,24.97315185,3.174591558,49.95539978,1.544006188,3.090769357,1.63058537,-122.5822574,-67.18811706,-5.095797726,160.3979735,-4.526930929,2.776940426,1.241200099,402.2180859,410.4721091,-2.00971899,65.46199359,2.779643026,13.49685995,16.7782897,-0.000235922,96.30767686,7,1,1,0,48948,2019.359267,1656.480556,0.820300074,0.175929143,6,0.5,"0: Broadleaf",2,TRUE,1705686718,412.7592963,408.7022593,16.79468148,13.51818148,409.2752593,16.67908148,499.9791111,91.83429259,0.09994207,24.52516667,24.97315185,999.9,0,0,9997.591852,0,19.3626,4.057098674,419.809963,414.3031481,3.276501111,408.7022593,13.51818148,1.542327778,1.241432222,13.39435926,10.10790741,1999.996667,0.979997556,0.02000273,0,2.1419,0,30005.40741,17338.18148,38.17566667,39.28214815,38.458,37.6062963,37.57611111,1959.995185,40.01,0,1705686751,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,0.88828642,53.20333637,5.772005144,0,3.267529512,0.141033659,0.014237151,1,1,2,"2-Jan",3.13006,2.7708,0.0836076,0.0822425,0.0843668,0.0724697,27389.4,26939.8,30427.7,29610.6,38464.6,36152.7,46557,44010.9,1.83745,1.8429,0.082314,0,23.6277,999.9,40,32.5,21.3958,63.6455,22.9367,1,0.154355,2.17156,20.1793,5.22972,11.974,4.97025,3.28968,9999,9999,9999,999.9,4.97296,1.87729,1.87533,1.8782,1.87485,1.87851,1.87552,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.45,0.1153,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.3,14.1,0.997314,2.55615,1.39893,2.32788,1.44897,2.41455,38.4034,24.0875,18,493.321,462.8,21.044,29.0462,30,28.8988,28.9712,19.9369,38.427,24.5981,21.0402,366.435,13.5949,100.605,101.222
5,1705686731,20,2024-01-19 11:52:10,11:52:10,5,"n","ryan.hl.2.38","albert",1705686723,0.002765845,2.765845311,0.992796663,406.4720345,384.575473,35.35576696,37.36881714,0.156554659,2.781627292,0.151819221,0.095300542,355.2615988,25.97512591,24.97546071,3.175028663,49.91614459,1.543141513,3.091467751,1.63188715,-121.9737782,-66.96119785,-5.079262665,161.2473601,-9.564974465,2.776365916,0.992796663,385.8401887,397.6063455,-2.670646537,65.46199359,2.765845311,13.50448929,16.76890364,-0.000165559,96.30767686,7,1,1,0,48945,2019.344743,1656.468647,0.820300076,0.175929147,6,0.5,"0: Broadleaf",2,TRUE,1705686723,406.4720357,396.3486786,16.78522143,13.50963214,403.0086429,16.66978929,500.0194643,91.83452143,0.100012736,24.52894286,24.97546071,999.9,0,0,9995.893571,0,19.3626,10.12359551,413.4115,401.7765357,3.275573929,396.3486786,13.50963214,1.541462143,1.240651786,13.38575,10.0985,1999.982143,0.979997429,0.020002861,0,2.142832143,0,29980.89643,17338.06071,38.13146429,39.28542857,38.44603571,37.59575,37.56664286,1959.981071,40.01,0,1705686756,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,6.605286663,77.20509772,7.696662525,0,3.27365561,0.018327805,0.010231373,1,1,2,"2-Jan",3.13007,2.77098,0.0815318,0.0795357,0.0843386,0.0725362,27451.8,27019.2,30428.1,29610.5,38465.8,36149.8,46557.1,44010.7,1.83742,1.84282,0.082355,0,23.6277,999.9,40,32.5,21.3941,63.8355,23.1971,1,0.154319,2.19409,20.1791,5.23062,11.974,4.97015,3.28965,9999,9999,9999,999.9,4.97298,1.87724,1.87531,1.87816,1.87485,1.87849,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.408,0.1151,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.4,14.2,0.964355,2.55493,1.39893,2.32788,1.44897,2.53052,38.4034,24.0875,18,493.294,462.74,21.0588,29.0438,30,28.8969,28.9697,19.2029,38.1497,24.5981,21.0569,346.383,13.6119,100.606,101.222
6,1705686736,25,2024-01-19 11:52:15,11:52:15,5,"n","ryan.hl.2.38","albert",1705686728,0.002760335,2.760334856,0.992630719,395.3524432,373.7368305,34.35933549,36.34655759,0.156096316,2.781517073,0.151387935,0.095028659,355.2641459,25.97854562,24.97726296,3.175369894,49.87652549,1.542087013,3.091809219,1.63328288,-121.7307671,-66.95197899,-5.078857963,161.5025418,-14.09400696,2.769155387,0.992630719,369.0760285,382.6406909,-3.040642622,65.46199359,2.760334856,13.50597975,16.76381455,-0.00011997,96.30767686,7,1,1,0,48919,2019.359267,1656.480556,0.820300074,0.175929143,6,0.5,"0: Broadleaf",2,TRUE,1705686728,395.3524444,379.7528889,16.77374444,13.50639259,391.9255556,16.65851111,499.984037,91.83464444,0.099927378,24.53078889,24.97726296,999.9,0,0,9995.232222,0,19.3626,15.59983148,402.0973704,384.9519259,3.267334815,379.7528889,13.50639259,1.54040963,1.240355926,13.37527407,10.09493333,1999.996667,0.979997556,0.02000273,0,2.184214815,0,29954.41481,17338.18519,38.13177778,39.28214815,38.44866667,37.61088889,37.5667037,1959.994815,40.01,0,1705686760,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,10.95042008,68.37984248,6.924657509,0,3.271721707,-0.065550314,0.012996563,1,1,2,"2-Jan",3.13004,2.77126,0.07911,0.0767518,0.0843251,0.0727239,27524.4,27100.6,30428.4,29610.1,38466.5,36141.9,46557.5,44010.3,1.83715,1.84315,0.0825152,0,23.6277,999.9,39.9,32.5,21.3417,63.4255,23.3293,1,0.154317,2.19298,20.1789,5.22972,11.974,4.9703,3.28975,9999,9999,9999,999.9,4.97296,1.8772,1.8753,1.87809,1.87484,1.87843,1.87546,1.87665,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.359,0.1151,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.5,14.2,0.926514,2.54639,1.39893,2.32788,1.44897,2.58545,38.4034,24.0963,18,493.124,462.931,21.0702,29.0419,30,28.8945,28.9673,18.5256,38.1497,24.5981,21.072,333.02,13.6226,100.607,101.221
7,1705686741,30,2024-01-19 11:52:20,11:52:20,5,"n","ryan.hl.2.38","albert",1705686733,0.002712249,2.712249418,0.846081127,382.5773918,362.6696056,33.34190009,35.17211527,0.153124803,2.782503515,0.148592731,0.093266472,355.2664842,25.99457171,24.984175,3.176678889,49.85291814,1.541666118,3.09242904,1.635012771,-119.6101993,-67.51000578,-5.119638057,163.0266411,-16.29254859,2.745237069,0.846081127,352.3542511,366.8170788,-3.188973173,65.46199359,2.712249418,13.57431671,16.77342485,0.000137369,96.30767686,7,1,1,0,48936,2019.3726,1656.49149,0.820300072,0.17592914,6,0.5,"0: Broadleaf",2,TRUE,1705686733,382.5773929,364.28675,16.76915357,13.53012857,379.1925714,16.654,500.0026429,91.83467143,0.099969839,24.53413929,24.984175,999.9,0,0,10001.02929,0,19.3626,18.29078929,389.1023929,369.2826786,3.239014643,364.28675,13.53012857,1.539988571,1.242535,13.37108571,10.12115,2000.01,0.979997643,0.020002643,0,2.144371429,0,29934.05,17338.31071,38.12935714,39.27657143,38.455,37.60467857,37.57328571,1960.0075,40.01,0,1705686766,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,16.33710488,36.52571017,3.789179869,0,3.251716341,-0.325320836,0.03425546,1,1,2,"2-Jan",3.13005,2.77116,0.0765101,0.0739189,0.0843545,0.0727536,27601.8,27183.5,30428,29609.9,38464.7,36140.1,46557.1,44009.8,1.8376,1.84288,0.0842027,0,23.6277,999.9,39.9,32.5,21.3405,63.7955,23.2372,1,0.154047,2.19867,20.1787,5.23047,11.974,4.9707,3.28973,9999,9999,9999,999.9,4.97294,1.8772,1.87531,1.87808,1.87481,1.87845,1.87546,1.87665,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.307,0.1152,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.5,14.3,0.892334,2.55249,1.39893,2.32788,1.44897,2.44995,38.4034,24.105,18,493.365,462.747,21.0816,29.0395,29.9999,28.8928,28.9663,17.7796,38.1497,24.2158,21.0836,312.985,13.6332,100.605,101.22
8,1705686746,35,2024-01-19 11:52:25,11:52:25,5,"n","ryan.hl.2.38","albert",1705686738,0.002724551,2.724550887,0.870241264,366.7393323,347.0285254,31.90393829,33.71604398,0.153487217,2.782032922,0.148933265,0.09348119,355.2676534,25.99541011,25.00264815,3.180179633,49.83693281,1.541537705,3.09316328,1.638641927,-120.1526941,-69.67412389,-5.285245916,160.1555895,-17.61486162,2.73176759,0.870241264,335.5405727,350.4572,-3.288597548,65.46199359,2.724550887,13.54554886,16.76076485,-9.64e-05,96.30767686,7,1,1,0,48960,2019.379267,1656.496957,0.820300071,0.175929138,6,0.5,"0: Broadleaf",2,TRUE,1705686738,366.7393333,346.8045556,16.76775926,13.54474074,363.4072963,16.65264444,500.0210741,91.83462593,0.100001796,24.53810741,25.00264815,999.9,0,0,9998.267037,0,19.3626,19.93486296,372.9935556,351.5662222,3.223022593,346.8045556,13.54474074,1.53986,1.243875926,13.36980741,10.13727407,2000.016667,0.979997667,0.020002619,0,2.148974074,0,29913.0037,17338.37037,38.17348148,39.26140741,38.44874074,37.6062963,37.57144444,1960.013704,40.01,0,1705686771,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,18.44152927,21.89189895,2.286473982,0,3.238582439,-0.26254223,0.030764952,1,1,2,"2-Jan",3.13,2.77073,0.0737808,0.0710286,0.0843052,0.0726581,27684,27268.8,30428.7,29610.4,38467.5,36144,46558.3,44010.2,1.83733,1.84295,0.0865869,0,23.6277,999.9,39.8,32.5,21.2899,63.9855,23.101,1,0.154464,2.42383,20.1748,5.23047,11.974,4.97025,3.28975,9999,9999,9999,999.9,4.97294,1.8772,1.8753,1.87812,1.87485,1.87846,1.87546,1.87665,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.252,0.1149,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.6,14.4,0.854492,2.56226,1.39893,2.32788,1.44897,2.49146,38.4034,24.0963,18,493.197,462.78,21.0742,29.0376,30.0004,28.8908,28.9644,17.0868,37.8735,24.2158,21.0358,299.627,13.659,100.608,101.221
9,1705686751,40,2024-01-19 11:52:30,11:52:30,5,"n","ryan.hl.2.38","albert",1705686743,0.002703565,2.703565238,0.644468818,351.8688921,334.8618556,30.78544582,32.34898371,0.151797999,2.781873184,0.147341918,0.092478164,355.2681135,26.00598998,25.02623571,3.184654481,49.80880139,1.541107053,3.094045651,1.643547428,-119.227227,-72.49267425,-5.500153305,158.0480589,-18.17155653,2.716060128,0.644468818,318.8516563,334.0312061,-3.286317854,65.46199359,2.703565238,13.55751254,16.74809758,-0.000119869,96.30767686,7,1,1,0,48920,2019.381886,1656.499105,0.820300071,0.175929138,6,0.5,"0: Broadleaf",2,TRUE,1705686743,351.8688929,331.21125,16.76305,13.55862857,348.5869643,16.64803571,500.0336071,91.834675,0.100089443,24.542875,25.02623571,999.9,0,0,9997.3225,0,19.3626,20.65773929,357.8679643,335.7636429,3.204431429,331.21125,13.55862857,1.539429643,1.245151786,13.36551071,10.15262143,2000.019286,0.979997643,0.020002639,0,2.179067857,0,29894.25,17338.39286,38.17171429,39.25878571,38.43935714,37.58007143,37.56896429,1960.015,40.01,0,1705686775,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,20.13177317,9.873321951,1.02252142,0,3.216822683,-0.182725714,0.025263437,1,1,2,"2-Jan",3.13005,2.77111,0.0709824,0.0680403,0.0842668,0.0728004,27767.6,27356.4,30428.6,29610.3,38468.9,36138.1,46558.1,44010.1,1.83725,1.84295,0.087481,0,23.626,999.9,39.8,32.5,21.2873,63.5155,23.149,1,0.154682,2.52626,20.1739,5.23002,11.974,4.9705,3.28978,9999,9999,9999,999.9,4.97293,1.87724,1.87531,1.87816,1.87484,1.87847,1.87546,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.196,0.1147,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.7,14.5,0.820312,2.55127,1.39893,2.32788,1.44897,2.57935,38.4034,24.0963,18,493.146,462.763,21.0278,29.0358,30.0003,28.8895,28.9623,16.4149,37.5963,23.8412,20.9926,279.593,13.6838,100.608,101.221
10,1705686756,45,2024-01-19 11:52:35,11:52:35,5,"n","ryan.hl.2.38","albert",1705686748,0.002668893,2.66889278,0.553613441,334.8491104,319.1701618,29.34286363,30.78430556,0.149265721,2.781492465,0.144954227,0.090973389,355.2647321,26.01767203,25.05198148,3.189545046,49.77945226,1.54038694,3.09442324,1.649158107,-117.6981716,-76.0375987,-5.770710915,155.7582509,-18.52719936,2.699262402,0.553613441,301.9144069,317.3817939,-3.322702707,65.46199359,2.66889278,13.60069341,16.74975697,-1.56e-05,96.30767686,7,1,1,0,49113,2019.3626,1656.483291,0.820300074,0.175929143,6,0.5,"0: Broadleaf",2,TRUE,1705686748,334.8491111,313.7015926,16.7552,13.57043333,331.6251481,16.64032963,500.011963,91.83482963,0.100028778,24.54491481,25.05198148,999.9,0,0,9995.067407,0,19.3626,21.14757037,340.5552963,318.0167037,3.184767778,313.7015926,13.57043333,1.538711111,1.246238519,13.35834444,10.16564074,2000,0.979997444,0.020002841,0,2.188222222,0,29870.26667,17338.21111,38.17574074,39.25451852,38.43474074,37.5737037,37.55992593,1959.995185,40.01,0,1705686781,0,1705685881,11:38:01,1705685868,1705685881,1,0.009,-0.02,3.507,0.046,420,13,0.24,0.03,20.73573902,6.419671777,0.65399877,0,3.195415366,-0.202984599,0.027767871,1,1,2,"2-Jan",3.12999,2.77108,0.0680958,0.065081,0.084279,0.0730037,27854.3,27442.9,30429.1,29609.9,38468.6,36129.6,46558.7,44009.7,1.8371,1.84308,0.0877157,0,23.6257,999.9,39.7,32.5,21.2322,63.8855,23.0048,1,0.155043,2.66166,20.1714,5.23092,11.974,4.971,3.28995,9999,9999,9999,999.9,4.97293,1.87721,1.8753,1.8781,1.87483,1.87842,1.87546,1.87664,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.14,0.1148,1.945514789,0.00432042,-1.53e-06,3.87e-10,-0.021168708,-0.007370771,0.001217816,-1.7e-05,1,2099,0,27,14.8,14.6,0.782471,2.55615,1.39893,2.32788,1.44897,2.46948,38.4279,24.0963,18,493.047,462.831,20.969,29.0338,30.0004,28.8871,28.9606,15.6501,37.5963,23.8412,20.9307,266.221,13.6936,100.609,101.22
