"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1705875478,0,2024-01-21 16:17:58,16:17:58,5,"n","brit.hc.2.2","albert",1705875475.25,0.00021194262280967,0.211942622809674,-0.87234149004562,421.042601090164,524.391847194247,47.3888288012376,38.0492485683108,0.0119788048091809,2.75342331266317,0.0119499279824865,0.00747129360707653,0.024549327075,25.2511836798318,25.01664,3.18283339393424,50.1006599038998,1.62267150044569,3.23882260943908,1.56016189348855,-9.34666966590664,43.4714030026178,3.34505695487639,37.4943396186626,-0.884375914696836,0.213001391894582,-0.87234149004562,427.670893318662,428.736769696969,-2.57574343549859e-05,65.4491671979544,0.211942622809674,17.7050312031314,17.9548406060606,-3.75797227262728e-06,98.3634742980902,9,2,1,0,48005,0.2569265,0.1027706,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875475.25,421.0426,420.0889,17.95604,17.70501,417.4481,17.82163,499.9643,90.26918,0.09993816,25.30949,25.01664,999.9,0,0,10001.366,0,0.2569265,0.953784,428.741,427.6607,0.2510167,420.0889,17.70501,1.620876,1.598218,14.15872,13.94162,0,0,0,0,2.03117,0,0.30477,-2.31306,35.1122,41.687,38.1746,41.2122,36.4748,0,0,0,1705875505.2,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.953812975609756,-0.0315734843205554,0.031436512652187,1,0.256725853658537,-0.038969895470383,0.00390643460148219,1,2,2,"2/2",3.1301,2.77094,0.0854345,0.0862836,0.0873953,0.0870036,27442.4,26888.5,30540.5,29677.9,38468,35658.2,46719,44107.9,1.84875,1.874,0.0314377,0,24.5065,999.9,40.9,31.7,21.2715,62.9261,22.7364,1,0.0458232,0.616147,20.2132,5.23945,11.974,4.97285,3.291,9999,9999,9999,999.9,4.973,1.8772,1.87531,1.87816,1.87483,1.87849,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6,6.1,1.1084,2.54639,1.39893,2.33765,1.44897,2.5061,37.6987,24.1313,18,489.508,470.96,24.0323,27.6205,30,27.4055,27.4697,22.2186,25.7584,68.877,24.0119,420.1,17.676,100.964,101.448
2,1705875483,5,2024-01-21 16:18:03,16:18:03,5,"n","brit.hc.2.2","albert",1705875480.5,0.00021169407220668,0.21169407220669,-0.885368266678896,421.03844555244,526.400573492103,47.5716367592292,38.0498977434941,0.0119466813665124,2.75328446927737,0.0119179575644123,0.00745129839323249,0.0261935461666667,25.2513809111695,25.0287777777778,3.18513706994825,50.0981263588349,1.62260113219641,3.23884594121204,1.56253593775184,-9.33570858431502,41.6855161397406,3.20799526295235,35.5839963645446,-0.88431233201665,0.211446562234323,-0.885368266678896,427.656255859811,428.737842424242,-9.45213530576834e-07,65.4491671979544,0.21169407220669,17.7055572405879,17.9550206060606,8.42154163683766e-07,98.3634742980902,9,2,1,0,47943,0.274134444444444,0.109653777777778,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875480.5,421.038444444445,420.084111111111,17.9547777777778,17.7056,417.443888888889,17.8203888888889,500.004666666667,90.2716,0.0999519222222222,25.3096111111111,25.0287777777778,999.9,0,0,10000.2755555556,0,0.274134444444444,0.954284888888889,428.736222222222,427.656,0.249174777777778,420.084111111111,17.7056,1.62080888888889,1.59831222222222,14.1580555555556,13.9425555555556,0,0,0,0,2.08252222222222,0,0.472177777777778,-2.3073,35.1525555555556,41.687,38.222,41.229,36.5,0,0,0,1705875510,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.956782775,-0.0389026153846182,0.0371055031595635,1,0.253388125,-0.0377767542213888,0.00372119577681355,1,2,2,"2/2",3.13014,2.77095,0.0854356,0.0862973,0.0873975,0.0870076,27442.1,26888.1,30540.2,29677.9,38467.6,35657.9,46718.6,44107.6,1.84868,1.8741,0.0316538,0,24.5086,999.9,40.9,31.7,21.2694,63.1761,22.8926,1,0.0459248,0.623126,20.2131,5.23975,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97299,1.87714,1.87531,1.87812,1.87482,1.87845,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.594,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.1,6.1,1.1084,2.53906,1.39893,2.33643,1.44897,2.58423,37.6987,24.1313,18,489.474,471.042,24.013,27.6222,30.0001,27.4066,27.4718,22.2192,25.7584,68.877,23.9831,420.1,17.676,100.963,101.448
3,1705875488,10,2024-01-21 16:18:08,16:18:08,5,"n","brit.hc.2.2","albert",1705875485.2,0.00021112153978144,0.211121539781442,-0.879203038575145,421.070301098223,525.833201053503,47.5204599933586,38.0528547030518,0.0119256383843939,2.75278819876238,0.0118970104042462,0.00743819783729185,0.026354601,25.2511590003682,25.02134,3.1837252524015,50.100931764823,1.62265617620241,3.23877444798684,1.56106907619909,-9.31045990436161,42.7267545713054,3.28858954883321,36.731238816777,-0.894358072934861,0.211053554085685,-0.879203038575145,427.67255555174,428.747963636364,-0.00027985216082637,65.4491671979544,0.211121539781442,17.7067426306613,17.9555381818182,6.31581573633012e-07,98.3634742980902,9,2,1,0,48047,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875485.2,421.0703,420.1037,17.95535,17.70663,417.4756,17.82095,499.9936,90.27175,0.09998746,25.30924,25.02134,999.9,0,0,9997.32,0,0.27582,0.9667023,428.769,427.6764,0.2487079,420.1037,17.70663,1.620861,1.598409,14.15857,13.94349,0,0,0,0,2.1038,0,0.73279,-2.31719,35.1935,41.7248,38.25,41.2936,36.5186,0,0,0,1705875515.4,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.955212926829268,0.132502034843208,0.0321662953213758,1,0.251268268292683,-0.0263584599303134,0.00280357298185804,1,2,2,"2/2",3.13024,2.77107,0.0854363,0.0862952,0.0873986,0.0870101,27442.3,26887.4,30540.5,29677.1,38467.9,35656.9,46719,44106.6,1.84865,1.87402,0.0310466,0,24.5086,999.9,40.9,31.7,21.2702,63.1261,22.5641,1,0.0461408,0.667285,20.2129,5.23975,11.974,4.97315,3.291,9999,9999,9999,999.9,4.97298,1.87717,1.87531,1.87815,1.87481,1.87847,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.2,6.2,1.1084,2.53906,1.39893,2.33643,1.44897,2.50488,37.6987,24.1313,18,489.469,470.998,23.9865,27.6229,30.0003,27.4078,27.4724,22.2187,25.7584,68.877,23.9627,420.1,17.676,100.964,101.445
4,1705875493,15,2024-01-21 16:18:13,16:18:13,5,"n","brit.hc.2.2","albert",1705875490.5,0.00020924914881322,0.209249148813221,-0.840516425957899,421.013889939695,521.697589845925,47.1475538556154,38.0484315746144,0.0118136204171225,2.75375119131291,0.0117855368336642,0.00736847810805571,0.0263253202333333,25.2492761996062,25.0253222222222,3.18448107832018,50.1064059662545,1.62260010642751,3.23830870551819,1.56188097189267,-9.22788746266304,41.791555934636,3.21550967146311,35.8055034636694,-0.83669000116429,0.209700895891503,-0.840516425957899,427.686831024796,428.713703030303,-3.4860811828486e-05,65.4491671979544,0.209249148813221,17.7075929307874,17.9541678787879,-1.00621680132334e-06,98.3634742980902,9,2,1,0,47979,0.275513555555556,0.110205422222222,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875490.5,421.013888888889,420.115888888889,17.9544111111111,17.7073111111111,417.419333333333,17.8200333333333,500.046555555556,90.2733444444444,0.0999959222222222,25.3068222222222,25.0253222222222,999.9,0,0,10002.8466666667,0,0.275513555555556,0.898067888888889,428.711,427.688777777778,0.247115111111111,420.115888888889,17.7073111111111,1.62080333333333,1.59849555555556,14.1580333333333,13.9443444444444,0,0,0,0,2.20765555555556,0,0.715755555555555,-2.33377777777778,35.1804444444444,41.75,38.2637777777778,41.312,36.5206666666667,0,0,0,1705875520.2,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.946640825,-0.186240506566606,0.0402038797312445,1,0.249008825,-0.0140669606003759,0.00147922574151986,1,2,2,"2/2",3.13008,2.77101,0.0854354,0.0863004,0.087395,0.0870089,27442,26887.4,30540.1,29677.3,38467.4,35657.2,46718.3,44106.8,1.84845,1.874,0.0313744,0,24.5086,999.9,40.9,31.7,21.2694,63.1961,22.7364,1,0.04625,0.671958,20.2128,5.2396,11.974,4.97295,3.291,9999,9999,9999,999.9,4.97302,1.87719,1.87531,1.87819,1.87485,1.8785,1.87552,1.87669,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.2,6.3,1.1084,2.54517,1.39893,2.33643,1.44897,2.49512,37.7228,24.1225,18,489.37,470.998,23.9632,27.6252,30.0003,27.4095,27.4743,22.2162,25.7584,68.877,23.9376,420.1,17.676,100.963,101.446
5,1705875498,20,2024-01-21 16:18:18,16:18:18,5,"n","brit.hc.2.2","albert",1705875495.2,0.00020880184512774,0.208801845127744,-0.874473588632657,421.071301093084,526.491898468471,47.5804626926444,38.0533250195919,0.0117947023041593,2.75228483010714,0.0117666936023815,0.0073566943815472,0.02539266093,25.2478730418834,25.02042,3.18355065866254,50.1082571957512,1.62251603318654,3.23802128429268,1.561034625476,-9.2081613701335,42.2752819256308,3.25435664261116,36.3468698590385,-0.869892096253924,0.208695927911951,-0.874473588632657,427.702166028748,428.771224242424,-0.00014307729574565,65.4491671979544,0.208801845127744,17.707873961315,17.9539581818182,7.3237644668803e-08,98.3634742980902,9,2,1,0,48028,0.2657526,0.10630104,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875495.2,421.0713,420.1328,17.95362,17.70766,417.4767,17.81926,499.9571,90.27264,0.09999979,25.30533,25.02042,999.9,0,0,9994.241,0,0.2657526,0.9386627,428.7692,427.7065,0.245949,420.1328,17.70766,1.620721,1.598519,14.15723,13.94452,0,0,0,0,2.11081,0,0.57104,-2.34202,35.2435,41.7872,38.2686,41.3372,36.5746,0,0,0,1705875525,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.94699255,-0.208355752345215,0.0400859962935624,1,0.247968475,-0.0125682889305823,0.00131644422569852,1,2,2,"2/2",3.13009,2.7708,0.0854398,0.0863023,0.0873931,0.0870163,27442.4,26887.4,30540.7,29677.3,38468.4,35657,46719.3,44106.9,1.84862,1.87392,0.0311397,0,24.5065,999.9,40.9,31.7,21.2689,63.1161,22.9327,1,0.0466362,0.691961,20.2127,5.2393,11.974,4.97285,3.291,9999,9999,9999,999.9,4.97301,1.87722,1.87531,1.87817,1.87482,1.87848,1.87549,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.3,6.4,1.1084,2.54028,1.39893,2.33765,1.44897,2.57202,37.6987,24.1313,18,489.471,470.952,23.9382,27.6269,30.0004,27.4102,27.4748,22.2165,25.7584,68.877,23.9178,420.1,17.676,100.965,101.446
6,1705875503,25,2024-01-21 16:18:23,16:18:23,5,"n","brit.hc.2.2","albert",1705875500.5,0.00020673281245664,0.206732812456649,-0.84839532840031,421.059556616228,524.07079450283,47.3611973328279,38.05189100204,0.0116836109783401,2.75549473508822,0.0116561586773392,0.00728756023118771,0.026354601,25.2450591399207,25.0159222222222,3.18269720970863,50.1175050431255,1.62248227068805,3.23735642724419,1.56021493902057,-9.1169170293382,42.4799079868913,3.26616877067006,36.6555143292231,-0.892114509844985,0.20723538153243,-0.84839532840031,427.660407708085,428.71636969697,-0.00408764320237359,65.4491671979544,0.206732812456649,17.7092235436091,17.9528703030303,-7.79943317917118e-07,98.3634742980902,9,2,1,0,47928,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875500.5,421.059555555556,420.093666666667,17.9534222222222,17.7091888888889,417.464888888889,17.8190444444444,499.968111111111,90.2718888888889,0.0998659,25.3018777777778,25.0159222222222,999.9,0,0,10013.3388888889,0,0.27582,0.965793,428.757,427.667444444444,0.244212444444444,420.093666666667,17.7091888888889,1.62068666666667,1.59864222222222,14.1569444444444,13.9457222222222,0,0,0,0,2.18437777777778,0,0.730266666666667,-2.39467777777778,35.2357777777778,41.7982222222222,38.3051111111111,41.3887777777778,36.576,0,0,0,1705875530.4,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.943802625,0.00507839774858967,0.0343112047775122,1,0.24651875,-0.0170171257035653,0.00170216577850102,1,2,2,"2/2",3.13018,2.77117,0.0854313,0.0862911,0.0873893,0.0870169,27442.2,26887.7,30540.2,29677.3,38468.3,35657,46719,44107,1.84877,1.87372,0.0309162,0,24.5045,999.9,40.9,31.7,21.2708,63.1561,22.8045,1,0.0465498,0.690667,20.2127,5.2393,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97299,1.8772,1.87531,1.87816,1.87482,1.87849,1.87547,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.594,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.4,6.5,1.1084,2.53418,1.39893,2.33765,1.44897,2.58301,37.6987,24.1313,18,489.569,470.839,23.9165,27.6276,30.0002,27.4124,27.4767,22.2163,25.7584,68.877,23.9023,420.1,17.676,100.964,101.446
7,1705875508,30,2024-01-21 16:18:28,16:18:28,5,"n","brit.hc.2.2","albert",1705875505.2,0.00020723039166163,0.207230391661637,-0.870548414356516,421.071401089926,526.731328818465,47.6011424315878,38.0525680561098,0.0117191963032806,2.75207069103337,0.0116915424596092,0.00730969313997992,0.02533995555,25.2424619727344,25.01082,3.18172931005865,50.1251885287367,1.62250054295556,3.23689663935206,1.55922876710309,-9.1388602722782,42.8298625628705,3.29704878161617,37.0133910277585,-0.885368445217616,0.206952114299225,-0.870548414356516,427.703025252296,428.767721212121,-0.00029291055202712,65.4491671979544,0.207230391661637,17.7103054967093,17.9544563636364,2.35489156258658e-06,98.3634742980902,9,2,1,0,47956,0.265201,0.1060804,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875505.2,421.0714,420.1137,17.95381,17.70997,417.4769,17.81944,500.0899,90.2707,0.10012062,25.29949,25.01082,999.9,0,0,9993.188,0,0.265201,0.9577635,428.7696,427.6881,0.2438575,420.1137,17.70997,1.620704,1.59869,14.15708,13.94619,0,0,0,0,2.06754,0,1.0671,-2.36814,35.3496,41.8498,38.3496,41.4058,36.6372,0,0,0,1705875535.2,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.941070487804878,0.155806829268294,0.0317678262943715,1,0.245534341463415,-0.0152810383275263,0.00162278913181274,1,2,2,"2/2",3.13017,2.77083,0.085435,0.0862929,0.0873923,0.0870204,27441.9,26887.3,30540.1,29677,38467.7,35656.5,46718.5,44106.5,1.84855,1.8738,0.0309497,0,24.502,999.9,40.9,31.7,21.2689,63.1661,22.5601,1,0.0465473,0.682873,20.2127,5.2396,11.974,4.97265,3.291,9999,9999,9999,999.9,4.97298,1.87725,1.87531,1.87818,1.87484,1.8785,1.87551,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.594,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.5,6.6,1.10718,2.54272,1.39893,2.33643,1.44897,2.46338,37.6987,24.1313,18,489.445,470.89,23.8997,27.6299,30.0002,27.4125,27.4771,22.216,25.7584,68.877,23.8916,420.1,17.676,100.963,101.445
8,1705875513,35,2024-01-21 16:18:33,16:18:33,5,"n","brit.hc.2.2","albert",1705875510.5,0.00020716196716343,0.207161967163438,-0.823741949167373,421.025334360278,520.392858390953,47.029957638406,38.0497220905056,0.0117172793386214,2.75467982675444,0.0116896606471804,0.00730851386189605,0.026354601,25.2396694389236,25.0101,3.18159274562867,50.1359441969297,1.62257187183653,3.23634449859607,1.55902087379214,-9.1358427519076,42.5515008407877,3.27245882558295,36.7144715154631,-0.853638966976129,0.206305187731275,-0.823741949167373,427.690188943807,428.706224242424,-0.00202130234127736,65.4491671979544,0.207161967163438,17.7108620502412,17.9550060606061,1.39008485202906e-06,98.3634742980902,9,2,1,0,48088,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875510.5,421.025333333333,420.105111111111,17.9539777777778,17.7108333333333,417.430666666667,17.8196222222222,499.952666666667,90.2741,0.0998489888888889,25.2966222222222,25.0101,999.9,0,0,10008.2644444444,0,0.27582,0.920244,428.722555555556,427.679777777778,0.243152555555556,420.105111111111,17.7108333333333,1.62078222222222,1.59883111111111,14.1578,13.9475222222222,0,0,0,0,2.2,0,0.979333333333333,-2.40138888888889,35.2357777777778,41.861,38.312,41.465,36.59,0,0,0,1705875540,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.943098756097561,0.0121988989547057,0.0268951496377706,1,0.244464146341463,-0.011796522648084,0.00130882909057686,1,2,2,"2/2",3.13007,2.77102,0.0854337,0.0862924,0.0874001,0.0870254,27441.5,26887.4,30539.5,29677.1,38466.9,35656.3,46717.9,44106.5,1.84848,1.8738,0.0304766,0,24.4999,999.9,40.9,31.7,21.2673,62.8161,22.8085,1,0.0465346,0.670744,20.213,5.2396,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97298,1.87722,1.87531,1.87819,1.87483,1.87851,1.87548,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.594,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.6,6.6,1.1084,2.54761,1.39893,2.33643,1.44897,2.51465,37.7228,24.1225,18,489.42,470.906,23.8883,27.631,30.0001,27.4148,27.479,22.2154,25.7584,68.877,23.8825,420.1,17.676,100.961,101.445
9,1705875518,40,2024-01-21 16:18:38,16:18:38,5,"n","brit.hc.2.2","albert",1705875515.2,0.00020689416237352,0.206894162373526,-0.880749656250354,421.047001101557,528.106573958147,47.7278913706859,38.0523298165207,0.011719029904236,2.75373046015064,0.0116913934698846,0.007309598464032,0.026354601,25.2391928258874,24.99924,3.17953352001989,50.1419402884524,1.62271455003971,3.2362420375133,1.55681896998018,-9.12403256067248,44.0700887531042,3.39022130974753,38.3626321031793,-0.875660193484225,0.206881854126301,-0.880749656250354,427.682688445108,428.754442424242,0.00089099352821993,65.4491671979544,0.206894162373526,17.7118012410041,17.9556175757576,1.12874639121663e-06,98.3634742980902,9,2,1,0,47961,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875515.2,421.047,420.1007,17.95525,17.71144,417.4524,17.82086,499.9809,90.27541,0.10008185,25.29609,24.99924,999.9,0,0,10002.495,0,0.27582,0.9462677,428.7451,427.6756,0.2438188,420.1007,17.71144,1.62092,1.598909,14.15911,13.94829,0,0,0,0,2.06819,0,1.03031,-2.44075,35.306,41.875,38.3498,41.4748,36.6187,0,0,0,1705875545.4,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.948002525,-0.0732499474671715,0.0210851620399127,1,0.243780425,-0.00218936960600412,0.00054843102973391,1,2,2,"2/2",3.13022,2.77104,0.085435,0.0862995,0.0874012,0.0870273,27441.8,26887.5,30539.9,29677.4,38466.9,35656.8,46717.9,44107.2,1.8486,1.8737,0.0306517,0,24.4982,999.9,40.9,31.7,21.2704,63.0961,22.8806,1,0.0466768,0.670441,20.2129,5.23945,11.974,4.97275,3.291,9999,9999,9999,999.9,4.97297,1.87721,1.87531,1.87819,1.87485,1.8785,1.87551,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1344,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.7,6.7,1.1084,2.5354,1.39893,2.33643,1.44897,2.59521,37.6987,24.1313,18,489.492,470.849,23.8807,27.6323,30.0002,27.4154,27.48,22.2153,25.7584,68.877,23.9808,420.1,17.676,100.962,101.446
10,1705875523,45,2024-01-21 16:18:43,16:18:43,5,"n","brit.hc.2.2","albert",1705875520.5,0.00020792979830974,0.207929798309745,-0.827476059653301,421.026889920548,520.378250016096,47.0288512106129,38.0500356445107,0.0117737578331464,2.75346499639929,0.0117458603207148,0.00734366362487881,0.0260764231,25.2365324608215,25.0021555555556,3.18008624048668,50.1502527251813,1.62275497585095,3.23578623769554,1.55733126463573,-9.16970410545974,43.2815569445589,3.32989133249059,37.4678205946898,-0.840510090485808,0.207257992672076,-0.827476059653301,427.7217343146,428.731084848485,0.00029187895623297,65.4491671979544,0.207929798309745,17.7118766023665,17.9568636363636,2.15576681632021e-06,98.3634742980902,9,2,1,0,48120,0.272908666666667,0.109163466666667,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705875520.5,421.026888888889,420.123111111111,17.9559222222222,17.7117111111111,417.432111111111,17.8215111111111,500.066888888889,90.2744111111111,0.0999487111111111,25.2937222222222,25.0021555555556,999.9,0,0,10001.0333333333,0,0.272908666666667,0.903832444444444,428.724777777778,427.698222222222,0.244201888888889,420.123111111111,17.7117111111111,1.62096111111111,1.59891333333333,14.1595111111111,13.9483444444444,0,0,0,0,2.11535555555555,0,1.01356666666667,-2.43544444444444,35.3262222222222,41.875,38.361,41.5413333333333,36.687,0,0,0,1705875550.2,0,1705875119,16:11:59,1705875119,1705875114.5,4,-0.181,-0.003,3.592,0.132,420,18,0.27,0.17,0.93412143902439,-0.158600466898951,0.0278143925421747,1,0.243722317073171,0.00162301045296151,0.00047033799154849,1,2,2,"2/2",3.13024,2.77103,0.0854296,0.086291,0.0874059,0.0870284,27442.2,26887.5,30540.1,29677.1,38467.3,35656.6,46718.7,44107,1.84865,1.8739,0.0304021,0,24.4962,999.9,40.9,31.7,21.2697,62.7161,22.6522,1,0.0465244,0.296607,20.2142,5.23975,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97299,1.87725,1.87531,1.8782,1.87485,1.87851,1.87552,1.87669,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.595,0.1345,1.84550620333793,0.00494074655397491,-2.00812455640311e-06,5.02784631492473e-10,-0.018306544469548,-0.00740345129492786,0.00119219408352565,-1.66055853101985e-05,1,2119,0,26,6.7,6.8,1.1084,2.53296,1.39893,2.33765,1.44897,2.53418,37.6987,24.1313,18,489.533,470.99,23.9426,27.6346,30.0001,27.4172,27.4813,22.2157,25.7584,68.877,23.9617,420.1,17.676,100.963,101.446
