"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1702937857.5,0,2023-12-18 16:17:37,16:17:37,5,"y","brit.lc.3.11","albert",1702937854.75,0.00045201358000791,0.452013580007913,-1.97401742052958,422.061702442856,531.708353147317,48.4443919679219,38.4543940804428,0.0257736475765639,2.76750945338989,0.0256410392370997,0.0160375068510161,0.026354601,25.2680824478295,25.01845,3.18317682846989,49.7536649243987,1.61935842373968,3.25475203927251,1.56381840473021,-19.9337988783489,55.7343957631894,4.26865748180467,40.0956089676451,-1.98929326096684,0.451510576613438,-1.97401742052958,427.274365066847,429.687854545454,-0.00069188219797484,65.1258599356523,0.452013580007913,17.2408901843359,17.7736224242424,6.83304781893466e-08,104.169163383046,15,3,1,0,48471,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937854.75,422.0617,419.9034,17.7735,17.24136,419.1562,17.66557,500.0402,91.01082,0.10001488,25.392,25.01845,999.9,0,0,10002.818,0,0.27582,2.158326,429.699,427.2701,0.5321398,419.9034,17.24136,1.617582,1.56915,14.12731,13.65914,0,0,0,0,2.10549,0,0.26564,-2.11179,35.281,41.7622,37.9934,40.8745,36.3247,0,0,0,1702937857.8,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.1737095,-0.0590123076923121,0.0195651560113892,1,0.53180435,0.00350717448405131,0.00089521121948956,1,2,2,"2/2",3.12971,2.77119,0.0862042,0.086768,0.0873775,0.0858892,27382.2,26825.4,30502.8,29627.5,38439.6,35652.2,46682.4,44044.7,1.8156,1.86225,0.0280812,0,24.5498,999.9,39.2,32.3,20.9171,62.4635,22.1595,1,0.0978887,0.692002,20.2144,5.23586,11.974,4.9732,3.291,9999,9999,9999,999.9,4.97302,1.8773,1.87543,1.87822,1.87491,1.87851,1.87562,1.87681,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.905,0.1079,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22,21.9,1.10718,2.55615,1.39893,2.33643,1.44897,2.42188,38.4279,24.0963,18,476.576,469.756,24.1206,28.3504,29.9999,28.1901,28.2643,22.2062,25.2826,71.8052,24.099,419.9,17.2613,100.867,101.292
2,1702937862.5,5,2023-12-18 16:17:42,16:17:42,5,"y","brit.lc.3.11","albert",1702937860,0.00045102592688353,0.45102592688353,-1.99872309155613,422.059113590195,533.371722278857,48.5965199304067,38.4546147999056,0.0257458545797805,2.76782556409518,0.0256135463185824,0.0160202970122044,0.026354601,25.2698112547365,25.0091111111111,3.18140518863384,49.7474024294286,1.61929362603316,3.25503151311324,1.56211156260068,-19.8902433755637,57.3498402062197,4.39170726819437,41.8776586998504,-1.99694235633514,0.451622558539618,-1.99872309155613,427.258368906126,429.69823030303,0.00010681305971081,65.1258599356523,0.45102592688353,17.2402877997748,17.7718860606061,-3.04930816341788e-06,104.169163383046,15,3,1,0,48352,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937860,422.059111111111,419.891666666667,17.7725777777778,17.2403,419.153555555555,17.6646555555556,500.035222222222,91.0118888888889,0.100027811111111,25.3934444444444,25.0091111111111,999.9,0,0,10004.5666666667,0,0.27582,2.16764666666667,429.696,427.257555555556,0.532289111111111,419.891666666667,17.2403,1.61751555555556,1.56907,14.1266666666667,13.6583555555556,0,0,0,0,2.08887777777778,0,0.271555555555556,-2.07654444444444,34.9648888888889,41.4996666666667,37.8332222222222,40.5761111111111,36.2147777777778,0,0,0,1702937862.6,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.1713143902439,-0.098234216027874,0.0202059578329084,1,0.532215926829268,0.00084505923344905,0.00078257986081196,1,2,2,"2/2",3.12969,2.77085,0.0862044,0.0867672,0.0873696,0.0858835,27382.3,26825.3,30502.9,29627.4,38440.1,35652.2,46682.6,44044.4,1.81548,1.86255,0.027936,0,24.5498,999.9,39.2,32.3,20.9196,62.6235,22.1194,1,0.0979675,0.73095,20.2144,5.23661,11.974,4.9729,3.291,9999,9999,9999,999.9,4.973,1.87729,1.87545,1.8782,1.87489,1.87851,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.905,0.1079,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.1,22,1.10718,2.55371,1.39893,2.33643,1.44897,2.44629,38.4279,24.0963,18,476.497,469.943,24.1033,28.3492,30.0002,28.1882,28.2632,22.2063,25.2826,71.8052,24.0897,419.9,17.2651,100.867,101.291
3,1702937867.5,10,2023-12-18 16:17:47,16:17:47,5,"y","brit.lc.3.11","albert",1702937864.7,0.00045137666128767,0.451376661287675,-1.98463993102238,422.053302460832,532.466808384438,48.5134014720788,38.4535542544392,0.025751152599659,2.76652091012361,0.0256187279568521,0.0160235459044643,0.026354601,25.2688562801696,25.01301,3.1821447250197,49.745741436934,1.61916213194345,3.25487586509525,1.56298259307625,-19.9057107627865,56.6213116066389,4.338030610836,41.0799860556885,-1.97331171100357,0.451722207843357,-1.98463993102238,427.277098151628,429.699290909091,0.00026635530832518,65.1258599356523,0.451376661287675,17.2387881857354,17.7708575757576,-2.1485950763913e-06,104.169163383046,15,3,1,0,48404,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937864.7,422.0533,419.914,17.77138,17.23892,419.1477,17.66348,499.975,91.01066,0.09999837,25.39264,25.01301,999.9,0,0,9997.001,0,0.27582,2.139426,429.6895,427.2797,0.5324653,419.914,17.23892,1.617386,1.568926,14.12545,13.65694,0,0,0,0,2.07649,0,-0.25148,-2.05056,35.0495,41.281,37.7748,40.331,36.1123,0,0,0,1702937868,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.15961829268293,-0.0921593728223027,0.0199616154708736,1,0.532321292682927,0.00108781881533028,0.00079785842144966,1,2,2,"2/2",3.12966,2.77113,0.0862054,0.086772,0.0873664,0.0858839,27382.4,26825.5,30503,29627.7,38440.2,35652.8,46682.6,44045.2,1.81523,1.86235,0.0281706,0,24.5519,999.9,39.2,32.3,20.9177,62.6035,22.0353,1,0.0980843,0.723069,20.2142,5.23796,11.974,4.973,3.291,9999,9999,9999,999.9,4.973,1.8773,1.87543,1.8782,1.87492,1.87851,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.906,0.1079,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.2,22.1,1.10718,2.55371,1.39893,2.33643,1.44897,2.50854,38.4279,24.0963,18,476.357,469.802,24.0887,28.3469,30.0001,28.1876,28.262,22.205,25.2826,71.8052,24.0767,419.9,17.2673,100.867,101.293
4,1702937872.5,15,2023-12-18 16:17:52,16:17:52,5,"y","brit.lc.3.11","albert",1702937870,0.00044931854254019,0.44931854254019,-1.99084403942451,422.049002462099,533.524457470695,48.6101981879844,38.4535054906094,0.0256053019991709,2.76871361794517,0.0254744721794713,0.0159332437991306,0.026354601,25.2683386343348,25.0213,3.18371766119538,49.7457606522636,1.61904982909732,3.25464885423085,1.56466783209806,-19.8149477260224,55.2536265859065,4.23004447389593,39.69507793478,-1.99099546478961,0.449757999486899,-1.99084403942451,427.252429169419,429.684581818182,-0.00027596254586647,65.1258599356523,0.44931854254019,17.2397128270448,17.769316969697,-2.84582778147624e-06,104.169163383046,15,3,1,0,48468,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937870,422.049,419.887666666667,17.7699888888889,17.2398888888889,419.143888888889,17.6621,500.017888888889,91.0114777777778,0.0999933222222222,25.3914666666667,25.0213,999.9,0,0,10009.8555555556,0,0.27582,2.16161222222222,429.684888888889,427.253444444444,0.530091777777778,419.887666666667,17.2398888888889,1.61727222222222,1.56902666666667,14.1243555555556,13.6579222222222,0,0,0,0,2.02657777777778,0,-0.620588888888889,-2.03854444444444,34.9232222222222,41.0553333333333,37.6594444444444,40.0691111111111,36.0135555555555,0,0,0,1702937872.8,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.15639365853659,-0.0610975609756094,0.0190856239801761,1,0.531783926829268,-0.00412697560975598,0.00113127582606808,1,2,2,"2/2",3.1297,2.77104,0.0862024,0.0867697,0.0873601,0.0858842,27382.4,26824.7,30502.9,29626.8,38440.2,35651.6,46682.3,44043.7,1.81553,1.86243,0.0281744,0,24.5519,999.9,39.2,32.3,20.92,62.7335,21.867,1,0.0977439,0.735689,20.2144,5.23855,11.974,4.9727,3.291,9999,9999,9999,999.9,4.97302,1.87731,1.87545,1.8782,1.87495,1.87851,1.87561,1.87679,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.905,0.1079,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.2,22.2,1.10718,2.55127,1.39893,2.33643,1.44897,2.57446,38.4279,24.0963,18,476.504,469.837,24.0755,28.3456,30.0001,28.1853,28.2602,22.2066,25.2826,71.8052,24.0562,419.9,17.2727,100.867,101.29
5,1702937877.5,20,2023-12-18 16:17:57,16:17:57,5,"y","brit.lc.3.11","albert",1702937874.7,0.00044956460349558,0.449564603495588,-1.96222677340198,422.032002430036,531.548412835276,48.4302916769205,38.4520628434563,0.0256484035581804,2.76968801990393,0.0255171800599696,0.0159599713530548,0.026354601,25.2665245464433,25.01187,3.18192847570115,49.7496170292412,1.61900338154017,3.25430320516553,1.56292509416098,-19.8257990141554,56.4143702700849,4.31714442478034,40.9320702817098,-1.97531634575751,0.449453138049854,-1.96222677340198,427.248843389281,429.646624242424,-0.00036794416404029,65.1258599356523,0.449564603495588,17.2396582038824,17.7695563636364,4.13155919040536e-07,104.169163383046,16,3,1,0,48374,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937874.7,422.032,419.8892,17.76943,17.23966,419.1266,17.66156,499.9905,91.01185,0.09987286,25.38968,25.01187,999.9,0,0,10015.57,0,0.27582,2.142869,429.6671,427.2549,0.5297724,419.8892,17.23966,1.617229,1.569014,14.12395,13.6578,0,0,0,0,1.98559,0,-0.5272,-1.99423,34.906,40.8622,37.5372,39.8311,35.9373,0,0,0,1702937877.6,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.15102,-0.0809394371482241,0.0203151507501175,1,0.53117525,-0.0118568105065682,0.00131065382061778,1,2,2,"2/2",3.12973,2.77109,0.0862034,0.0867759,0.0873655,0.0858892,27382,26825,30502.4,29627.4,38439.5,35652.2,46681.6,44044.6,1.81535,1.8625,0.0279471,0,24.5519,999.9,39.2,32.3,20.917,62.6835,21.8029,1,0.0979116,0.768301,20.2141,5.239,11.974,4.97235,3.291,9999,9999,9999,999.9,4.973,1.87731,1.87546,1.87821,1.87493,1.87851,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.905,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.3,22.3,1.10718,2.54517,1.39893,2.33643,1.44897,2.56958,38.4279,24.0963,18,476.405,469.88,24.0576,28.3444,30.0002,28.1846,28.2596,22.2053,25.2826,71.8052,24.0446,419.9,17.2717,100.865,101.292
6,1702937882.5,25,2023-12-18 16:18:02,16:18:02,5,"y","brit.lc.3.11","albert",1702937880,0.00044802762203674,0.448027622036743,-1.98939427038759,422.047446914355,533.645809188364,48.6222665080266,38.454163959636,0.0255646553724,2.76592584636368,0.0254341087261695,0.0159079913517416,0.026354601,25.2628774376494,25.0106,3.18168758149492,49.7606987842097,1.61898734557799,3.2535462425856,1.56270023591693,-19.7580181318204,55.9435756016396,4.28682789105003,40.4987399618693,-1.98779307257118,0.448501939480191,-1.98939427038759,427.266700173883,429.693890909091,0.00036252773868104,65.1258599356523,0.448027622036743,17.240460112792,17.7685042424242,-1.83591420567507e-06,104.169163383046,15,3,1,0,48360,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937880,422.047444444444,419.889444444445,17.7689333333333,17.2403444444444,419.142,17.6610777777778,500.047444444444,91.0132888888889,0.1000782,25.3857666666667,25.0106,999.9,0,0,9993.20111111111,0,0.27582,2.15810555555556,429.682666666667,427.255555555556,0.528562222222222,419.889444444445,17.2403444444444,1.61720888888889,1.56910111111111,14.1237444444444,13.6586888888889,0,0,0,0,2.0075,0,-0.698111111111111,-1.94461111111111,34.7427777777778,40.6455555555556,37.4304444444444,39.59,35.8677777777778,0,0,0,1702937883,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.14723341463415,-0.0118302439024389,0.0285634105541796,1,0.530383365853659,-0.0138979860627178,0.00148607938526911,1,2,2,"2/2",3.1298,2.77108,0.086207,0.0867669,0.0873641,0.0858898,27382.3,26825.6,30502.9,29627.7,38440,35652.6,46682.2,44045.2,1.81562,1.86238,0.0278391,0,24.5519,999.9,39.2,32.3,20.9172,62.6035,21.8429,1,0.0977642,0.755123,20.2141,5.23915,11.974,4.97235,3.291,9999,9999,9999,999.9,4.97302,1.8773,1.87545,1.87822,1.8749,1.87851,1.87561,1.87677,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.906,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.4,22.4,1.10718,2.54761,1.39893,2.33521,1.44897,2.57568,38.4279,24.0963,18,476.543,469.779,24.042,28.342,30,28.1829,28.2571,22.2053,25.2826,71.8052,24.034,419.9,17.2761,100.867,101.293
7,1702937887.5,30,2023-12-18 16:18:07,16:18:07,5,"y","brit.lc.3.11","albert",1702937884.7,0.00044795684300762,0.447956843007624,-2.01094603908824,422.049702488512,534.95574717566,48.7414135611461,38.4542071020995,0.0255715943484018,2.76722999093421,0.0254410382381161,0.0159123231540004,0.026354601,25.260453770583,25.00664,3.18093654912308,49.7656526537719,1.61890822656769,3.25306338857989,1.56202832255539,-19.7548967766362,56.1882633790494,4.30340885716205,40.7631300605752,-1.97742462424728,0.44812323204421,-2.01094603908824,427.276543884603,429.729327272727,0.00054921911461864,65.1258599356523,0.447956843007624,17.2401329941911,17.7681157575757,1.48621009724243e-07,104.169163383046,16,3,1,0,48481,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937884.7,422.0497,419.9038,17.76814,17.23996,419.1439,17.66028,500.0124,91.01298,0.10000237,25.38327,25.00664,999.9,0,0,10000.931,0,0.27582,2.145811,429.6843,427.27,0.5281485,419.9038,17.23996,1.617131,1.569061,14.12301,13.65829,0,0,0,0,2.06521,0,-0.63505,-1.93577,34.8747,40.4809,37.3872,39.406,35.756,0,0,0,1702937887.8,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.14873625,-0.0212673545966256,0.0307115565941796,1,0.5291681,-0.00856277673545997,0.00090584330322634,1,2,2,"2/2",3.12973,2.77093,0.0862127,0.0867753,0.0873602,0.0858892,27382.1,26824.8,30502.8,29627.1,38440.1,35651.6,46682.2,44044,1.81533,1.86245,0.0274852,0,24.554,999.9,39.2,32.3,20.9192,62.5235,21.9872,1,0.0976372,0.747489,20.2141,5.2393,11.974,4.97165,3.291,9999,9999,9999,999.9,4.97303,1.87732,1.87545,1.87822,1.87493,1.87851,1.87561,1.87681,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.906,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.5,22.4,1.10718,2.54639,1.39893,2.33643,1.44897,2.53296,38.4034,24.0963,18,476.372,469.828,24.0308,28.3402,30,28.1816,28.2571,22.205,25.2826,71.8052,24.0274,419.9,17.2789,100.867,101.29
8,1702937892.5,35,2023-12-18 16:18:12,16:18:12,5,"y","brit.lc.3.11","albert",1702937890,0.000448939357013,0.448939357013009,-1.96152534989608,422.066335766157,531.472302051669,48.4241313919327,38.4558059194305,0.0256687307795991,2.76642699171304,0.0255371457042694,0.0159724821026784,0.026354601,25.2578473176989,24.9932666666667,3.17840137929364,49.7695064042421,1.61881191419161,3.25261798066302,1.55958946510203,-19.7982256442737,57.8229783635744,4.42954647332035,42.480653793621,-1.96749724518717,0.448197731323013,-1.96152534989608,427.301776993697,429.703654545455,-0.00143964821648615,65.1258599356523,0.448939357013009,17.2382583132517,17.767376969697,1.41585154362756e-06,104.169163383046,15,3,1,0,48395,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937890,422.066333333333,419.932444444444,17.7670444444444,17.2387888888889,419.160777777778,17.6592333333333,500.024555555556,91.0130888888889,0.100090866666667,25.3809666666667,24.9932666666667,999.9,0,0,9996.18,0,0.27582,2.13406444444444,429.701,427.298555555556,0.528284,419.932444444444,17.2387888888889,1.61703555555556,1.56895444444444,14.1221,13.6572111111111,0,0,0,0,2.07926666666667,0,-1.14365555555556,-1.89725555555556,34.7636666666667,40.2913333333333,37.2844444444444,39.1943333333333,35.701,0,0,0,1702937892.6,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.14460675,-0.0203906566604154,0.0311163771499431,1,0.52872945,-0.00669500938086356,0.00078968053508998,1,2,2,"2/2",3.12984,2.77087,0.0862157,0.086772,0.087359,0.0858858,27382.4,26825.6,30503.3,29627.8,38440.8,35652.5,46683,44044.9,1.81583,1.86248,0.0267178,0,24.554,999.9,39.2,32.3,20.9188,62.6535,22.0633,1,0.0975737,0.700436,20.2145,5.2393,11.974,4.9719,3.291,9999,9999,9999,999.9,4.973,1.87729,1.87544,1.8782,1.8749,1.87851,1.87561,1.87678,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.905,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.6,22.5,1.10718,2.54639,1.39893,2.33643,1.44897,2.47803,38.4034,24.0963,18,476.636,469.826,24.0239,28.339,29.9999,28.1805,28.2548,22.206,25.2826,71.8052,24.0768,419.9,17.2846,100.868,101.293
9,1702937897.5,40,2023-12-18 16:18:17,16:18:17,5,"y","brit.lc.3.11","albert",1702937894.7,0.0004476630258302,0.447663025830207,-1.99004301301283,422.078702474628,533.683948846003,48.6255855400915,38.4568883816162,0.0255747127418197,2.76681957181083,0.0254441056112473,0.0159142448095122,0.026354601,25.2528968552337,25.00009,3.17969465127221,49.7869072829312,1.61886613424561,3.25159007175491,1.56082851702659,-19.7419394391121,56.0203235582825,4.29087706617318,40.5956157863436,-2.01717983099279,0.448385632212029,-1.99004301301283,427.252458312889,429.691933333333,-0.00199848246301429,65.1258599356523,0.447663025830207,17.2391518264072,17.7668260606061,-3.33816728307612e-06,104.169163383046,15,3,1,0,48258,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937894.7,422.0787,419.8852,17.76766,17.23916,419.1729,17.65983,500.0025,91.01315,0.09992478,25.37565,25.00009,999.9,0,0,9998.49,0,0.27582,2.19339,429.7139,427.2507,0.5285101,419.8852,17.23916,1.617091,1.568991,14.12264,13.65756,0,0,0,0,2.02065,0,-1.36711,-1.86769,34.7184,40.1434,37.2059,39.0248,35.656,0,0,0,1702937898,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.15515487804878,0.178773240418116,0.0380256815093881,1,0.528449390243902,-0.00133047386759508,0.00051235372108982,1,2,2,"2/2",3.12971,2.77091,0.0862093,0.0867726,0.087357,0.0858888,27382.7,26825.5,30503.4,29627.7,38441.1,35652.4,46683.2,44044.9,1.8156,1.86262,0.0271387,0,24.554,999.9,39.2,32.3,20.9182,62.5735,22.1595,1,0.0973323,0.558712,20.2148,5.23945,11.974,4.9719,3.291,9999,9999,9999,999.9,4.97297,1.87729,1.87541,1.8782,1.87486,1.87849,1.87561,1.87678,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.906,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.7,22.6,1.10718,2.55371,1.39893,2.33643,1.44897,2.42432,38.4279,24.0963,18,476.498,469.914,24.0603,28.3372,29.9998,28.1781,28.2536,22.2054,25.2826,71.8052,24.0661,419.9,17.2873,100.869,101.292
10,1702937902.5,45,2023-12-18 16:18:22,16:18:22,5,"y","brit.lc.3.11","albert",1702937900,0.00044857260212621,0.448572602126218,-1.98818614510909,422.050002472812,533.285246107958,48.5894133192269,38.4543959563824,0.0256284081673952,2.76406579309012,0.0254971236022494,0.0159474414579268,0.026354601,25.2465827794135,24.9993777777778,3.17955963754223,49.8026438553377,1.61880508311254,3.2504400525697,1.56075455442969,-19.7820517537662,55.1840529318955,4.23089216188235,39.6592479410116,-1.99036910031564,0.448059128423347,-1.98818614510909,427.265818589296,429.691351515151,0.00043068842250431,65.1258599356523,0.448572602126218,17.2387399616289,17.7674303030303,1.9099269405571e-06,104.169163383046,15,3,1,0,48327,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1702937900,422.05,419.888555555556,17.7669333333333,17.2388333333333,419.144555555556,17.6591222222222,500.017222222222,91.0133555555556,0.100009522222222,25.3697,24.9993777777778,999.9,0,0,9982.22333333333,0,0.27582,2.16137666666667,429.684333333333,427.254,0.528129444444444,419.888555555556,17.2388333333333,1.61703111111111,1.56896333333333,14.1220444444444,13.6573222222222,0,0,0,0,2.07201111111111,0,-1.33222222222222,-1.81614444444444,34.6733333333333,39.9927777777778,37.1456666666667,38.84,35.6245555555556,0,0,0,1702937902.8,0,1702936541.1,15:55:41,1702936537.6,1702936541.1,5,-0.048,0.004,2.9,0.101,420,17,0.35,0.04,2.16011225,0.122279662288926,0.0301621481734557,1,0.528212925,0.00019034521575782,0.00057699871696131,1,2,2,"2/2",3.1297,2.77096,0.0862125,0.0867695,0.0873592,0.0858832,27382.3,26825.1,30503,29627.2,38440.3,35652,46682.3,44044.1,1.81568,1.8627,0.0268035,0,24.554,999.9,39.2,32.3,20.9189,62.7335,22.0873,1,0.0967785,0.649387,20.2146,5.2396,11.974,4.97185,3.291,9999,9999,9999,999.9,4.97301,1.8773,1.87546,1.87822,1.87495,1.87851,1.87561,1.8768,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,2.906,0.1078,1.6355,0.0034702,-1.16737e-06,2.81146e-10,-0.0266397940130509,-0.00511158636766103,0.00087873085343889,-8.95142608205281e-06,0,2124,1,27,22.7,22.7,1.1084,2.55615,1.39893,2.33521,1.44897,2.47314,38.4034,24.0963,18,476.539,469.953,24.0704,28.3353,29.9997,28.178,28.2524,22.2051,25.2826,71.8052,24.0684,419.9,17.2896,100.867,101.291
