"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1704665849,0,2024-01-07 16:17:29,16:17:29,5,"n","brit.hc.1.1","albert",1704665846.05455,0.00028560252824002,0.285602528240024,-1.07750261915775,421.119183182885,516.198324205987,46.1187443743047,37.6240817716747,0.0159238501301905,2.73418570679313,0.0158725071633267,0.00992491606535991,0.026354601,25.263848816757,25.0034272727273,3.18032735432207,49.7917171878763,1.6158799291548,3.24527857325686,1.56444742516727,-12.5950714953851,50.050840276818,3.87882808562503,41.360951468058,-1.07449117729746,0.28548179698085,-1.07750261915775,427.550832963348,428.86709672879,1.4459966381777e-05,65.0434631816521,0.285602528240024,17.7496048658065,18.0860960436582,3.12344220173624e-06,106.174475475528,12,2,1,0,47366,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665846.05455,421.119181818182,419.974090909091,18.0862363636364,17.7498636363636,417.651636363636,17.9561454545455,500.014090909091,89.2430363636364,0.100036272727273,25.3429727272727,25.0034272727273,999.9,0,0,10001.4863636364,0,0.27582,1.14501363636364,428.875636363636,427.563181818182,0.336373636363636,419.974090909091,17.7498636363636,1.61406909090909,1.58405090909091,14.0937818181818,13.8045181818182,0,0,0,0,2.10607272727273,0,-0.233090909090909,-1.96001818181818,34.8463636363636,40.4882727272727,37.5168181818182,39.5452727272727,35.9200909090909,0,0,0,1704665857.1,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.15474853658537,0.0223915639032006,0.0280320941988909,1,0.335768317073171,1.54084321202135e-05,0.00111497490815088,1,2,2,"2/2",3.13021,2.77104,0.0844077,0.0852105,0.0867937,0.0860942,27446,26896.6,30513.2,29655.1,38469,35672.3,46688.3,44079.8,1.8268,1.8288,0.0282414,0,24.5421,999.9,42.9,32,22.9528,63.6841,22.9127,1,0.0911712,0.762255,20.2568,5.2393,11.974,4.973,3.291,9999,9999,9999,999.9,4.97276,1.87664,1.87469,1.87758,1.87424,1.87789,1.87491,1.87607,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.13,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,7.8,7.8,1.10107,2.53906,1.39893,2.34375,1.44897,2.54639,36.8842,13.6417,18,481.112,446.398,23.9717,28.2246,30.0003,27.9503,28.006,22.0716,28.9905,0,23.9742,420,17.7514,100.888,101.378
2,1704665854,5,2024-01-07 16:17:34,16:17:34,5,"n","brit.hc.1.1","albert",1704665851.5,0.00028548179210699,0.285481792106997,-1.05332804155126,421.141334667956,513.871572804218,45.9106835425546,37.6259119318828,0.0159156189914329,2.73208467109493,0.0158642896917262,0.00991977891791242,0.026354601,25.262064180964,25.0039,3.18041698609546,49.7953207815708,1.61582759881396,3.24493862767117,1.5645893872815,-12.5897470319186,49.6832783656472,3.85327886126865,40.9731647959973,-1.04840238609298,0.284399275406314,-1.05332804155126,427.623862909617,428.910042424242,0.00013466643722482,65.0434631816521,0.285481792106997,17.7506967387933,18.0870709090909,1.1366121065919e-07,106.174475475528,12,2,1,0,47406,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665851.5,421.141333333333,420.027,18.0857222222222,17.7506222222222,417.674111111111,17.9556444444444,500.010222222222,89.2426555555556,0.100063466666667,25.3412111111111,25.0039,999.9,0,0,9989.02777777778,0,0.27582,1.11456,428.898333333333,427.617333333333,0.335092444444445,420.027,17.7506222222222,1.61402,1.58411222222222,14.0933,13.8051222222222,0,0,0,0,2.06441111111111,0,-0.276477777777778,-1.89994444444444,34.9164444444444,40.2983333333333,37.4233333333333,39.3261111111111,35.8887777777778,0,0,0,1704665861.9,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.14859585365854,-0.180258405290441,0.0315287339310613,1,0.335620585365854,-0.00225351954499456,0.00113614240295213,1,2,2,"2/2",3.13017,2.77126,0.0844154,0.0852117,0.0867978,0.0860966,27445.6,26896.8,30513,29655.3,38468.6,35672.4,46688,44080,1.82692,1.8287,0.0281222,0,24.5411,999.9,42.9,32,22.9556,63.6041,23.0369,1,0.0913338,0.769782,20.2568,5.23945,11.974,4.97295,3.291,9999,9999,9999,999.9,4.97278,1.87666,1.87471,1.87757,1.87425,1.8779,1.87493,1.87607,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.468,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,7.9,7.9,1.10107,2.54395,1.39893,2.34375,1.44897,2.43896,36.8842,13.6329,18,481.196,446.354,23.9734,28.2263,30.0003,27.9527,28.0084,22.0713,28.9905,0,23.9733,420,17.7514,100.888,101.379
3,1704665859,10,2024-01-07 16:17:39,16:17:39,5,"n","brit.hc.1.1","albert",1704665856.2,0.00028305802272674,0.283058022726742,-1.09047229786338,421.136201379264,518.49161076766,46.321924296458,37.6242138419666,0.0157791366273925,2.73469241317293,0.0157287303284527,0.00983497176557324,0.026354601,25.2587856576078,25.00428,3.1804890378522,49.80844662891,1.61586708461448,3.24416277554938,1.56462195323772,-12.4828588022493,49.0818326008356,3.80293300703563,40.4282614066219,-1.09156943622872,0.283677940918012,-1.09047229786338,427.539978511538,428.87336969697,-0.00025660103815086,65.0434631816521,0.283058022726742,17.7527050308548,18.0862460606061,-2.78785044115475e-06,106.174475475528,12,2,1,0,47414,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665856.2,421.1362,419.9697,18.08676,17.75251,417.6691,17.95666,500.0098,89.23967,0.10010587,25.33719,25.00428,999.9,0,0,10004.88,0,0.27582,1.166477,428.8936,427.5601,0.3342488,419.9697,17.75251,1.614057,1.584229,14.09366,13.80625,0,0,0,0,1.97606,0,-0.58342,-1.86324,34.806,40.1621,37.3497,39.1808,35.7873,0,0,0,1704665867.3,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.14800048780488,-0.0258593525420601,0.0292986618316929,1,0.335106487804878,-0.00362937574583895,0.00129492079279289,1,2,2,"2/2",3.13021,2.7711,0.0843993,0.0852076,0.086788,0.0860951,27445.8,26897.1,30512.8,29655.5,38468.8,35673,46687.7,44080.7,1.82712,1.8287,0.0281967,0,24.5396,999.9,42.9,32,22.9583,63.6141,23.0329,1,0.0916489,0.786601,20.2567,5.23945,11.974,4.97295,3.291,9999,9999,9999,999.9,4.97277,1.87667,1.87469,1.87759,1.87424,1.8779,1.87495,1.87607,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8,8,1.10107,2.53662,1.39893,2.34375,1.44897,2.56836,36.8842,13.6417,18,481.322,446.373,23.9718,28.2287,30.0002,27.9551,28.0108,22.0697,28.9905,0,23.9694,420,17.7514,100.887,101.38
4,1704665864,15,2024-01-07 16:17:44,16:17:44,5,"n","brit.hc.1.1","albert",1704665861.5,0.00028589025670229,0.285890256702298,-0.996354575715999,421.143001261215,508.00981664167,45.3822510854887,37.6221419351309,0.0159496061496094,2.73445516713348,0.0158981023072791,0.00994092741999306,0.026354601,25.2562141295646,24.9973555555556,3.17917631853167,49.8127879411145,1.6158369785701,3.24381960005981,1.56333933996156,-12.6077603205713,49.8361320730825,3.86154322605412,41.1162695795653,-0.998553298323625,0.284809580994722,-0.996354575715999,427.68568088246,428.902442424242,7.45903304974251e-05,65.0434631816521,0.285890256702298,17.7519674712557,18.0887660606061,3.90702184516821e-06,106.174475475528,12,2,1,0,47380,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665861.5,421.143,420.088777777778,18.0877111111111,17.7521555555556,417.675777777778,17.9576111111111,500.050777777778,89.2334444444445,0.0999692,25.3354111111111,24.9973555555556,999.9,0,0,10004.1655555556,0,0.27582,1.05424222222222,428.900777777778,427.681,0.335548444444444,420.088777777778,17.7521555555556,1.61402777777778,1.58408777777778,14.0933777777778,13.8048555555556,0,0,0,0,2.11191111111111,0,-0.441655555555556,-1.88352222222222,34.7497777777778,40.0205555555556,37.2705555555556,38.9718888888889,35.729,0,0,0,1704665872.1,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.12662634146341,-0.192120264258376,0.0434911809819011,1,0.335147951219512,-0.00425793603432321,0.00127416455557892,1,2,2,"2/2",3.13017,2.77085,0.0844049,0.0852119,0.0867952,0.086094,27445.7,26896.7,30512.8,29655.2,38468.7,35672.6,46687.9,44080.1,1.8266,1.82847,0.0278801,0,24.5374,999.9,42.9,32,22.9566,63.5641,22.8486,1,0.0916641,0.789869,20.2566,5.23945,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97275,1.87668,1.8747,1.87759,1.87424,1.8779,1.87496,1.8761,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.1,8,1.10107,2.54761,1.39893,2.34375,1.44897,2.45605,36.8842,13.6242,18,481.05,446.254,23.9677,28.2299,30.0001,27.9574,28.0137,22.0661,28.9905,0,23.9662,420,17.7514,100.887,101.379
5,1704665869,20,2024-01-07 16:17:49,16:17:49,5,"n","brit.hc.1.1","albert",1704665866.2,0.00028460685752407,0.284606857524075,-1.16610997512764,421.172601475441,525.398628927755,46.9374838479544,37.6262538394875,0.0158771629857639,2.73377900319131,0.0158261125542777,0.00989589326855673,0.026354601,25.2549811037976,24.99883,3.17945580043744,49.8223571334004,1.61599639151473,3.24351653453061,1.56345940892271,-12.5511624168117,49.374944197653,3.82675255096922,40.6768889328105,-1.13810583425187,0.285214453334667,-1.16610997512764,427.529100685391,428.95333939394,0.00011262800420272,65.0434631816521,0.284606857524075,17.7530410959194,18.0884254545455,-3.03820017243553e-08,106.174475475528,12,2,1,0,47422,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665866.2,421.1726,419.9509,18.08879,17.75269,417.7051,17.95866,499.9499,89.23693,0.09996824,25.33384,24.99883,999.9,0,0,9999.75,0,0.27582,1.22151,428.9315,427.5411,0.3360659,419.9509,17.75269,1.614188,1.584197,14.09491,13.80594,0,0,0,0,2.11372,0,-0.55707,-1.85032,34.6935,39.8623,37.2309,38.8309,35.6746,0,0,0,1704665876.9,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.13829317073171,0.197304878048781,0.068725712213223,1,0.335182097560976,0.00261039721254364,0.0011428472105139,1,2,2,"2/2",3.13004,2.77101,0.0844121,0.0852013,0.0867982,0.0860936,27445.6,26897.2,30512.9,29655.4,38468.5,35672.7,46687.9,44080.3,1.8267,1.8283,0.0282153,0,24.5355,999.9,42.9,32,22.9548,63.6941,23.1731,1,0.0916565,0.762644,20.2571,5.23975,11.974,4.973,3.291,9999,9999,9999,999.9,4.97278,1.87666,1.87469,1.87759,1.87424,1.87789,1.87493,1.87608,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.468,0.1302,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.1,8.1,1.10107,2.53906,1.39893,2.34375,1.44897,2.50732,36.908,13.6417,18,481.121,446.163,23.9669,28.2311,30.0001,27.9598,28.0161,22.0694,28.9905,0,23.9701,420,17.7514,100.887,101.379
6,1704665874,25,2024-01-07 16:17:54,16:17:54,5,"n","brit.hc.1.1","albert",1704665871.5,0.00028480322941499,0.284803229414999,-1.03792778741043,421.149223534895,512.51451966924,45.7857451143927,37.6235799452813,0.0158918116431698,2.73318781527241,0.0158406561071873,0.00990499238850626,0.026354601,25.2532039752592,24.9964,3.17899520381842,49.8248606723838,1.61591357774631,3.24318734852369,1.56308162607211,-12.5598224172015,49.4708510572481,3.83493524076667,40.7723184818133,-1.05367125829542,0.285399451641459,-1.03792778741043,427.612363978068,428.881636363636,-0.00028146944627767,65.0434631816521,0.284803229414999,17.7518333545947,18.0874066666667,-1.16314523655748e-06,106.174475475528,12,2,1,0,47459,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665871.5,421.149222222222,420.029111111111,18.0881444444444,17.7518777777778,417.681777777778,17.9580333333333,500.026555555556,89.2354777777778,0.1000305,25.3321333333333,24.9964,999.9,0,0,9996.39444444444,0,0.27582,1.11994444444444,428.907111111111,427.620333333333,0.336262666666667,420.029111111111,17.7518777777778,1.61410222222222,1.58409666666667,14.0941111111111,13.8049777777778,0,0,0,0,1.98372222222222,0,-0.5783,-1.78895555555556,34.7218888888889,39.7705555555556,37.1731111111111,38.6873333333333,35.6317777777778,0,0,0,1704665882.3,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.14544325,0.0354505440900551,0.0769141830999816,1,0.3354602,0.00765431144465132,0.00124743330883859,1,2,2,"2/2",3.13029,2.77087,0.0843985,0.08521,0.0867881,0.0860871,27445.6,26896.9,30512.5,29655.4,38468.3,35673,46687.1,44080.3,1.82708,1.82825,0.0279248,0,24.5349,999.9,42.9,32,22.9579,63.5541,22.8285,1,0.0917454,0.765343,20.2569,5.2393,11.974,4.9731,3.291,9999,9999,9999,999.9,4.97278,1.87667,1.87469,1.87759,1.87424,1.87789,1.87493,1.87607,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.2,8.2,1.10107,2.53784,1.39893,2.34375,1.44897,2.56104,36.908,13.6417,18,481.342,446.15,23.9692,28.2335,30.0002,27.9622,28.0185,22.068,28.9905,0,23.9702,420,17.7514,100.886,101.379
7,1704665879,30,2024-01-07 16:17:59,16:17:59,5,"n","brit.hc.1.1","albert",1704665876.2,0.00028644996369802,0.286449963698024,-1.05969467541164,421.154901339548,514.024983942281,45.919402927075,37.623038205269,0.0159936003904616,2.73374841708507,0.0159417991835401,0.00996826456240655,0.026354601,25.2527084159203,24.99062,3.17789986261057,49.8211658311878,1.61578862222386,3.24317706193134,1.56211124038671,-12.6324433990829,50.3250046782493,3.90023403619322,41.6191499163596,-1.03933751595953,0.285569415337563,-1.05969467541164,427.652733391428,428.946109090909,0.00024410513025698,65.0434631816521,0.286449963698024,17.7503822147561,18.0878715151515,1.04184279270627e-06,106.174475475528,12,2,1,0,47465,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665876.2,421.1549,420.0521,18.08725,17.75079,417.6877,17.95716,500.0373,89.23303,0.09998758,25.33208,24.99062,999.9,0,0,10000.005,0,0.27582,1.102844,428.9128,427.6432,0.3364658,420.0521,17.75079,1.613981,1.583956,14.09294,13.80363,0,0,0,0,2.13489,0,-1.03207,-1.73308,34.5623,39.6371,37.0748,38.5247,35.5496,0,0,0,1704665887.1,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.12801975609756,0.0461088501742184,0.0772020953048083,1,0.335853756097561,0.00717395121951265,0.0011361479588566,1,2,2,"2/2",3.13014,2.77112,0.0844058,0.0852024,0.0867904,0.0860823,27445.6,26897,30512.8,29655.2,38468.6,35672.9,46687.6,44080,1.82677,1.82825,0.0277087,0,24.5333,999.9,42.9,32,22.9567,63.3241,23.0609,1,0.0917073,0.749741,20.2568,5.2396,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97278,1.87668,1.87472,1.87759,1.87424,1.8779,1.87498,1.87609,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.3,8.3,1.10107,2.54517,1.39893,2.34375,1.44897,2.44385,36.908,13.6242,18,481.193,446.168,23.9715,28.2348,30.0001,27.9646,28.0209,22.0665,28.9905,0,23.9741,420,17.7514,100.887,101.378
8,1704665884,35,2024-01-07 16:18:04,16:18:04,5,"n","brit.hc.1.1","albert",1704665881.5,0.00028654140886384,0.286541408863849,-1.0910435996708,421.148556935504,517.075348606729,46.1923340326589,37.6228239689939,0.0160002989597059,2.73434572079438,0.0159484657135852,0.00997243401079847,0.026354601,25.2517857334677,24.9908,3.17793396860632,49.8292819727763,1.61596406705689,3.24300090846133,1.56196990154943,-12.6364761308957,50.1748276268686,3.88773138227399,41.4524374792469,-1.10826008153907,0.286317446609531,-1.0910435996708,427.552052466513,428.886042424242,-0.00020123939853799,65.0434631816521,0.286541408863849,17.7516956779964,18.0893490909091,1.36216072043479e-06,106.174475475528,12,2,1,0,47422,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665881.5,421.148555555556,419.963222222222,18.0890444444444,17.7516444444444,417.681222222222,17.9588777777778,499.949444444444,89.2338666666667,0.0999879777777778,25.3311666666667,24.9908,999.9,0,0,10003.4666666667,0,0.27582,1.18529222222222,428.907222222222,427.553222222222,0.337370555555556,419.963222222222,17.7516444444444,1.61415333333333,1.58405111111111,14.0946111111111,13.8045111111111,0,0,0,0,2.05102222222222,0,-1.12538888888889,-1.75854444444444,34.6177777777778,39.5067777777778,37.0065555555556,38.4093333333333,35.4927777777778,0,0,0,1704665891.9,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.16027075,-0.142009643527205,0.0678135723283879,1,0.336557925,0.00507002251407055,0.00074781850697545,1,2,2,"2/2",3.13019,2.77108,0.0843997,0.0851978,0.0867954,0.0860934,27445.4,26896.3,30512.3,29654.3,38467.9,35671.4,46687.1,44078.6,1.82677,1.82812,0.028111,0,24.5324,999.9,42.9,32,22.954,63.6341,23.0008,1,0.0917149,0.721846,20.257,5.239,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97278,1.87666,1.87471,1.87758,1.87426,1.8779,1.87497,1.87608,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.4,8.4,1.10107,2.53418,1.39893,2.34375,1.44897,2.57202,36.908,13.6417,18,481.209,446.108,23.9765,28.236,30.0001,27.967,28.0232,22.0685,28.9905,0,23.9817,420,17.7514,100.885,101.375
9,1704665889,40,2024-01-07 16:18:09,16:18:09,5,"n","brit.hc.1.1","albert",1704665886.2,0.00028564802200236,0.285648022002362,-1.07944317527812,421.12590136494,516.214792609811,46.1180529340265,37.6229176092557,0.0159546327458044,2.7340042706567,0.0159030880218102,0.00994404714694805,0.026354601,25.2497477786353,24.98924,3.17763839393624,49.8372239899444,1.61600281068576,3.24256184696767,1.56163558325049,-12.5970777703041,50.0629285280955,3.87947059583007,41.3716759546214,-1.07284004352756,0.285248293232202,-1.07944317527812,427.578371843743,428.896896969697,7.66106019322735e-06,65.0434631816521,0.285648022002362,17.7521785965205,18.0887066666667,3.63889236525696e-07,106.174475475528,12,2,1,0,47446,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665886.2,421.1259,419.9828,18.08846,17.7524,417.6587,17.95831,500.0689,89.2389,0.09998295,25.32889,24.98924,999.9,0,0,10000.87,0,0.27582,1.14317,428.8837,427.5732,0.3360443,419.9828,17.7524,1.614194,1.584207,14.09498,13.80604,0,0,0,0,2.03397,0,-1.40297,-1.70579,34.4746,39.4184,36.9498,38.2623,35.4372,0,0,0,1704665897.3,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.1471056097561,-0.013471567944251,0.0569285914727145,1,0.336565585365854,0.00044475261324078,0.00073320585654952,1,2,2,"2/2",3.13018,2.77098,0.0844035,0.0852026,0.0867961,0.0860977,27445.3,26896.6,30512.4,29654.8,38468,35671.9,46687.2,44079.5,1.82655,1.8282,0.0276007,0,24.5313,999.9,42.9,32,22.956,63.4341,22.8766,1,0.0917378,0.720713,20.2574,5.2393,11.974,4.97285,3.291,9999,9999,9999,999.9,4.97278,1.87668,1.87472,1.87759,1.87426,1.8779,1.87497,1.87609,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.468,0.1302,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.5,8.5,1.10107,2.54272,1.39893,2.34253,1.44897,2.46948,36.908,13.6242,18,481.102,446.173,23.9848,28.2383,30.0001,27.9694,28.0256,22.0685,28.9905,0,23.9873,420,17.7514,100.886,101.377
10,1704665894,45,2024-01-07 16:18:14,16:18:14,5,"n","brit.hc.1.1","albert",1704665891.5,0.00028556754641431,0.285567546414311,-1.05670298181772,421.115445780141,513.948163389579,45.9153041160807,37.6217781058932,0.0159556353250295,2.73432777284044,0.0159040902118759,0.00994467355136338,0.026354601,25.246955313579,24.9862888888889,3.17707930984219,49.8450635558105,1.61598564918623,3.24201743142898,1.56109366065597,-12.5935287968711,50.0876883604114,3.88081732835171,41.4013314928919,-1.05387046440606,0.284846157751166,-1.05670298181772,427.577672869508,428.869096969697,-7.98995225405696e-05,65.0434631816521,0.285567546414311,17.7528379307297,18.0893472727273,-5.31140687148303e-07,106.174475475528,12,2,1,0,47454,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1704665891.5,421.115444444445,419.994666666667,18.0883666666667,17.7527111111111,417.648333333333,17.9582555555556,499.965666666667,89.2384444444444,0.0999507222222222,25.3260666666667,24.9862888888889,999.9,0,0,10002.8466666667,0,0.27582,1.12061555555556,428.873,427.585555555556,0.335668555555556,419.994666666667,17.7527111111111,1.61417777777778,1.58422333333333,14.0948333333333,13.8062,0,0,0,0,2.00765555555556,0,-1.37908888888889,-1.67931111111111,34.5344444444444,39.3053333333333,36.8886666666667,38.1387777777778,35.3816666666667,0,0,0,1704665902.1,0,1704665381.6,16:09:41,1704665380.6,1704665381.6,5,-0.002,0.004,3.464,0.127,420,18,0.73,0.18,1.13823575,0.0273182363977487,0.039424384769296,1,0.336386375,-0.00433007504690486,0.00088644302376125,1,2,2,"2/2",3.13005,2.77095,0.0844019,0.0852131,0.0867977,0.0860947,27445.1,26896.3,30512.1,29654.8,38467.6,35672.1,46686.8,44079.5,1.82652,1.8281,0.0277273,0,24.5313,999.9,42.9,32,22.9574,63.5941,23.2011,1,0.0917226,0.702557,20.2573,5.239,11.974,4.97285,3.291,9999,9999,9999,999.9,4.97277,1.87667,1.87471,1.87758,1.87424,1.8779,1.87498,1.87607,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.467,0.1301,1.9796116875167,0.00406834151302063,-1.33673961460008e-06,2.96868173682424e-10,-0.0228948805661041,-0.0049338900415618,0.00093146888092629,-1.01479314187685e-05,0,2132,0,26,8.6,8.5,1.09985,2.5354,1.39893,2.34375,1.44897,2.52441,36.908,13.6329,18,481.1,446.129,23.9928,28.2396,30.0001,27.9712,28.028,22.0666,28.9905,0,23.9966,420,17.7514,100.885,101.377
